GeneratorTechnology,Period,generatorCapitalCost_in_euro_per_kW
Bio,1,2115.0
Coal,1,1534.0
CoalCCS,1,3649.0
GasCCGT,1,582.0
GasCCS,1,1851.0
Geo,1,3311.0
Hydroregulated,1,2221.0
Hydrorun-of-the-river,1,1814.0
Lignite,1,1798.0
LigniteCCS,1,3702.0
Nuclear,1,6346.0
Wave,1,4516.0
Waste,1,1745.0
Windoffshore,1,3251.0
Windoffshoregrounded,1,3251.0
Windonshore,1,1110.0
Solar,1,1667.0
Bio,2,1904.0
Coal,2,1534.0
CoalCCS,2,3458.0
GasCCGT,2,567.0
GasCCS,2,1719.0
Geo,2,3122.0
Hydroregulated,2,2221.0
Hydrorun-of-the-river,2,1766.0
Lignite,2,1798.0
LigniteCCS,2,3532.0
Nuclear,2,6346.0
Wave,2,2817.0
Waste,2,1708.0
Windoffshore,2,2229.0
Windoffshoregrounded,2,2229.0
Windonshore,2,1058.0
Solar,2,667.0
Bio,3,1798.0
Coal,3,1534.0
CoalCCS,3,3358.0
GasCCGT,3,564.0
GasCCS,3,1586.0
Geo,3,3082.0
Hydroregulated,3,2221.0
Hydrorun-of-the-river,3,1755.0
Lignite,3,1798.0
LigniteCCS,3,3437.0
Nuclear,3,6346.0
Wave,3,2453.0
Waste,3,1700.0
Windoffshore,3,1831.0
Windoffshoregrounded,3,1831.0
Windonshore,3,1005.0
Solar,3,496.0
Bio10cofiring,1,1701.0
Bio10cofiringCCS,1,2988.0
GasOCGT,1,425.0
Bio10cofiring,2,1701.0
Bio10cofiringCCS,2,2689.0
GasOCGT,2,425.0
Bio10cofiring,3,1701.0
Bio10cofiringCCS,3,2392.0
GasOCGT,3,425.0
Windoffshorefloating,1,4891.0
Windoffshorefloating,2,3414.0
Windoffshorefloating,3,2833.0
Hydrogenfuelcell,1,79.97
Hydrogenfuelcell,2,54.71
Hydrogenfuelcell,3,35.76
HydrogenCCGT,1,727.5
HydrogenCCGT,2,708.75
HydrogenCCGT,3,705.0
HydrogenOCGT,1,531.25
HydrogenOCGT,2,531.25
HydrogenOCGT,3,531.25
