GeneratorTechnology,Period,generatorEfficiency
Bio,1,0.34671060171919776
Coal,1,0.3767106017191978
CoalCCS,1,0.37
GasCCGT,1,0.57
GasCCS,1,0.42845243988153997
Geo,1,0.1
Hydroregulated,1,1.0
Hydrorun-of-the-river,1,1.0
Lignite,1,0.37
LigniteCCS,1,0.32000000000000006
Nuclear,1,0.37999999999999995
Wave,1,1.0
Waste,1,0.33159104488859953
Windoffshore,1,1.0
Windoffshoregrounded,1,1.0
Windonshore,1,1.0
Solar,1,1.0
Bio,2,0.39
Coal,2,0.42
CoalCCS,2,0.39
GasCCGT,2,0.58
GasCCS,2,0.45899729959246827
Geo,2,0.1
Hydroregulated,2,1.0
Hydrorun-of-the-river,2,1.0
Lignite,2,0.375
LigniteCCS,2,0.32999999999999996
Nuclear,2,0.37999999999999995
Wave,2,1.0
Waste,2,0.33589742209494494
Windoffshore,2,1.0
Windoffshoregrounded,2,1.0
Windonshore,2,1.0
Solar,2,1.0
Bio,3,0.395
Coal,3,0.425
CoalCCS,3,0.4
GasCCGT,3,0.59
GasCCS,3,0.47588584470433587
Geo,3,0.1
Hydroregulated,3,1.0
Hydrorun-of-the-river,3,1.0
Lignite,3,0.375
LigniteCCS,3,0.33999999999999997
Nuclear,3,0.37999999999999995
Wave,3,1.0
Waste,3,0.34020379930129035
Windoffshore,3,1.0
Windoffshoregrounded,3,1.0
Windonshore,3,1.0
Solar,3,1.0
Bio10cofiring,1,0.47
Bio10cofiringCCS,1,0.395
GasOCGT,1,0.41
Bio10cofiring,2,0.47
Bio10cofiringCCS,2,0.395
GasOCGT,2,0.41
Bio10cofiring,3,0.49
Bio10cofiringCCS,3,0.43
GasOCGT,3,0.42
Windoffshorefloating,1,1.0
Windoffshorefloating,2,1.0
Windoffshorefloating,3,1.0
Hydrogenfuelcell,1,0.6
Hydrogenfuelcell,2,0.6
Hydrogenfuelcell,3,0.6
HydrogenCCGT,1,0.57
HydrogenCCGT,2,0.58
HydrogenCCGT,3,0.59
HydrogenOCGT,1,0.41
HydrogenOCGT,2,0.41
HydrogenOCGT,3,0.42
