GeneratorTechnology,Period,generatorCapitalCost_in_euro_per_kW
Bio,1,50.2
Coal,1,27.07
CoalCCS,1,73.82
GasCCGT,1,21.11
GasCCS,1,43.36
Geo,1,100.47
Hydroregulated,1,26.97
Hydrorun-of-the-river,1,9.43
Lignite,1,34.37
LigniteCCS,1,72.53
Nuclear,1,126.91
Wave,1,41.92
Waste,1,55.32
Windoffshore,1,44.42
Windoffshoregrounded,1,44.42
Windonshore,1,14.81
Solar,1,15.88
Bio,2,42.38
Coal,2,27.07
CoalCCS,2,69.64
GasCCGT,2,21.11
GasCCS,2,40.4
Geo,2,100.47
Hydroregulated,2,26.97
Hydrorun-of-the-river,2,8.68
Lignite,2,34.37
LigniteCCS,2,68.72
Nuclear,2,121.62
Wave,2,35.23
Waste,2,47.02
Windoffshore,2,32.79
Windoffshoregrounded,2,32.79
Windonshore,2,14.81
Solar,2,13.29
Bio,3,41.47
Coal,3,27.07
CoalCCS,3,67.55
GasCCGT,3,21.11
GasCCS,3,37.02
Geo,3,97.3
Hydroregulated,3,26.97
Hydrorun-of-the-river,3,8.64
Lignite,3,34.37
LigniteCCS,3,65.13
Nuclear,3,114.22
Wave,3,29.62
Waste,3,44.17
Windoffshore,3,30.67
Windoffshoregrounded,3,30.67
Windonshore,3,12.69
Solar,3,10.08
Bio10cofiring,1,34.44
Bio10cofiringCCS,1,59.1
GasOCGT,1,20.73
Bio10cofiring,2,34.44
Bio10cofiringCCS,2,53.19
GasOCGT,2,20.73
Bio10cofiring,3,34.44
Bio10cofiringCCS,3,47.55
GasOCGT,3,20.73
Windoffshorefloating,1,78.59
Windoffshorefloating,2,61.96
Windoffshorefloating,3,55.5
Hydrogenfuelcell,1,0.0
Hydrogenfuelcell,2,0.0
Hydrogenfuelcell,3,0.0
HydrogenCCGT,1,31.665
HydrogenCCGT,2,31.665
HydrogenCCGT,3,31.665
HydrogenOCGT,1,31.095
HydrogenOCGT,2,31.095
HydrogenOCGT,3,31.095
