GeneratorTechnology,Period,generatorTypeFuelCost_in_euro_per_GJ
Lignite_existing,1,1.9359367109914156
Lignite,1,1.9359367109914156
LigniteCCS,1,1.9359367109914156
Coal_existing,1,7.956851430650684
Coal,1,7.956851430650684
CoalCCS,1,7.956851430650684
Oil_existing,1,12.345786342170712
Bio_existing,1,10.392420369769708
Bio10cofiring,1,8.200408324562588
Bio10cofiringCCS,1,8.200408324562588
Nuclear,1,1.5131459350277732
Wave,1,0.0
Geo,1,0.0
Hydroregulated,1,0.0
Hydrorun-of-the-river,1,0.0
Bio,1,10.392420369769708
Windonshore,1,0.0
Windoffshoregrounded,1,0.0
Windoffshore,1,0.0
Solar,1,0.0
Waste,1,0.0
Windoffshorefloating,1,0.0
HydrogenOCGT,1,0.0
HydrogenCCGT,1,0.0
Hydrogenfuelcell,1,0.0
Lignite_existing,2,1.9359367109914156
Lignite,2,1.9359367109914156
LigniteCCS,2,1.9359367109914156
Coal_existing,2,1.8383070546675717
Coal,2,1.8383070546675717
CoalCCS,2,1.8383070546675717
Oil_existing,2,10.70807999065827
Bio_existing,2,5.488240557715332
Bio10cofiring,2,2.2033004049723477
Bio10cofiringCCS,2,2.2033004049723477
Nuclear,2,1.5131459350277732
Wave,2,0.0
Geo,2,0.0
Hydroregulated,2,0.0
Hydrorun-of-the-river,2,0.0
Bio,2,5.488240557715332
Windonshore,2,0.0
Windoffshoregrounded,2,0.0
Windoffshore,2,0.0
Solar,2,0.0
Waste,2,0.0
Windoffshorefloating,2,0.0
HydrogenOCGT,2,0.0
HydrogenCCGT,2,0.0
Hydrogenfuelcell,2,0.0
Lignite_existing,3,1.9359367109914156
Lignite,3,1.9359367109914156
LigniteCCS,3,1.9359367109914156
Coal_existing,3,1.893181892120335
Coal,3,1.893181892120335
CoalCCS,3,1.893181892120335
Oil_existing,3,10.456125167348661
Bio_existing,3,6.860300697144165
Bio10cofiring,3,2.389893772622718
Bio10cofiringCCS,3,2.389893772622718
Nuclear,3,1.5131459350277732
Wave,3,0.0
Geo,3,0.0
Hydroregulated,3,0.0
Hydrorun-of-the-river,3,0.0
Bio,3,6.860300697144165
Windonshore,3,0.0
Windoffshore,3,0.0
Windoffshoregrounded,3,0.0
Solar,3,0.0
Waste,3,0.0
Windoffshorefloating,3,0.0
HydrogenOCGT,3,0.0
HydrogenCCGT,3,0.0
Hydrogenfuelcell,3,0.0
