Node,GeneratorTechnology,Period,generatorMaxBuildCapacity_in_MW
Austria,Existing,1,0
BosniaH,Existing,1,0
Belgium,Existing,1,0
Bulgaria,Existing,1,0
Switzerland,Existing,1,0
CzechR,Existing,1,0
Germany,Existing,1,0
Denmark,Existing,1,0
Estonia,Existing,1,0
Spain,Existing,1,0
Finland,Existing,1,0
France,Existing,1,0
GreatBrit.,Existing,1,0
Greece,Existing,1,0
Croatia,Existing,1,0
Hungary,Existing,1,0
Ireland,Existing,1,0
Italy,Existing,1,0
Lithuania,Existing,1,0
Luxemb.,Existing,1,0
Latvia,Existing,1,0
Macedonia,Existing,1,0
Netherlands,Existing,1,0
NO1,Existing,1,0
NO2,Existing,1,0
NO3,Existing,1,0
NO4,Existing,1,0
NO5,Existing,1,0
Poland,Existing,1,0
Portugal,Existing,1,0
Romania,Existing,1,0
Serbia,Existing,1,0
Sweden,Existing,1,0
Slovenia,Existing,1,0
Slovakia,Existing,1,0
Austria,Existing,2,0
BosniaH,Existing,2,0
Belgium,Existing,2,0
Bulgaria,Existing,2,0
Switzerland,Existing,2,0
CzechR,Existing,2,0
Germany,Existing,2,0
Denmark,Existing,2,0
Estonia,Existing,2,0
Spain,Existing,2,0
Finland,Existing,2,0
France,Existing,2,0
GreatBrit.,Existing,2,0
Greece,Existing,2,0
Croatia,Existing,2,0
Hungary,Existing,2,0
Ireland,Existing,2,0
Italy,Existing,2,0
Lithuania,Existing,2,0
Luxemb.,Existing,2,0
Latvia,Existing,2,0
Macedonia,Existing,2,0
Netherlands,Existing,2,0
NO1,Existing,2,0
NO2,Existing,2,0
NO3,Existing,2,0
NO4,Existing,2,0
NO5,Existing,2,0
Poland,Existing,2,0
Portugal,Existing,2,0
Romania,Existing,2,0
Serbia,Existing,2,0
Sweden,Existing,2,0
Slovenia,Existing,2,0
Slovakia,Existing,2,0
Austria,Existing,3,0
BosniaH,Existing,3,0
Belgium,Existing,3,0
Bulgaria,Existing,3,0
Switzerland,Existing,3,0
CzechR,Existing,3,0
Germany,Existing,3,0
Denmark,Existing,3,0
Estonia,Existing,3,0
Spain,Existing,3,0
Finland,Existing,3,0
France,Existing,3,0
GreatBrit.,Existing,3,0
Greece,Existing,3,0
Croatia,Existing,3,0
Hungary,Existing,3,0
Ireland,Existing,3,0
Italy,Existing,3,0
Lithuania,Existing,3,0
Luxemb.,Existing,3,0
Latvia,Existing,3,0
Macedonia,Existing,3,0
Netherlands,Existing,3,0
NO1,Existing,3,0
NO2,Existing,3,0
NO3,Existing,3,0
NO4,Existing,3,0
NO5,Existing,3,0
Poland,Existing,3,0
Portugal,Existing,3,0
Romania,Existing,3,0
Serbia,Existing,3,0
Sweden,Existing,3,0
Slovenia,Existing,3,0
Slovakia,Existing,3,0
