Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Austria,Bio_existing,1428
Belgium,Bio_existing,758
CzechR,Bio_existing,410
Denmark,Bio_existing,1754
Estonia,Bio_existing,170
Finland,Bio_existing,2143
France,Bio_existing,2435
Germany,Bio_existing,10207
Ireland,Bio_existing,647
Italy,Bio_existing,1877
Latvia,Bio_existing,166
Lithuania,Bio_existing,233
Luxemb.,Bio_existing,83
Netherlands,Bio_existing,416
NO1,Bio_existing,2
NO3,Bio_existing,44
Poland,Bio_existing,2412
Slovakia,Bio_existing,861
Sweden,Bio_existing,6600
GreatBrit.,Bio_existing,7336
Bulgaria,Bio_existing,74
Croatia,Bio_existing,114
Greece,Bio_existing,120
Hungary,Bio_existing,249
Macedonia,Bio_existing,7
Romania,Bio_existing,118
Serbia,Bio_existing,37
Slovenia,Bio_existing,43
Spain,Bio_existing,830
Portugal,Bio_existing,709
CzechR,Coal_existing,1200
Denmark,Coal_existing,3022
Finland,Coal_existing,1410
France,Coal_existing,1812
Germany,Coal_existing,12966
Ireland,Coal_existing,855
Italy,Coal_existing,5583
Netherlands,Coal_existing,4006
Poland,Coal_existing,18687
Bulgaria,Coal_existing,356
Croatia,Coal_existing,217
Hungary,Coal_existing,42
Romania,Coal_existing,176
Spain,Coal_existing,3223
Austria,Gas_existing,4225
Belgium,Gas_existing,6995
CzechR,Gas_existing,1620
Denmark,Gas_existing,1568
Estonia,Gas_existing,93
Finland,Gas_existing,1742
France,Gas_existing,13133
Germany,Gas_existing,37512
Ireland,Gas_existing,4265
Italy,Gas_existing,47228
Latvia,Gas_existing,1112
Lithuania,Gas_existing,1503
Luxemb.,Gas_existing,72
Netherlands,Gas_existing,18351
NO1,Gas_existing,6
NO2,Gas_existing,23
NO4,Gas_existing,252
NO5,Gas_existing,192
Poland,Gas_existing,5424
Slovakia,Gas_existing,1183
GreatBrit.,Gas_existing,39822
Bulgaria,Gas_existing,699
Croatia,Gas_existing,886
Greece,Gas_existing,6030
Hungary,Gas_existing,3161
Macedonia,Gas_existing,251
Romania,Gas_existing,2238
Serbia,Gas_existing,607
Slovenia,Gas_existing,756
Spain,Gas_existing,29873
Portugal,Gas_existing,4433
France,Geo,2
Germany,Geo,54
Ireland,Geo,17
Italy,Geo,868
Croatia,Geo,10
Hungary,Geo,3
Austria,Hydroregulated,2519
CzechR,Hydroregulated,766
France,Hydroregulated,8787
Germany,Hydroregulated,1381
Italy,Hydroregulated,4542
Luxemb.,Hydroregulated,11
NO1,Hydroregulated,1420
NO2,Hydroregulated,9816
NO3,Hydroregulated,3416
NO4,Hydroregulated,4907
NO5,Hydroregulated,7102
Poland,Hydroregulated,469
Slovakia,Hydroregulated,418
Sweden,Hydroregulated,16300
Switzerland,Hydroregulated,5772
BosniaH,Hydroregulated,1456
Bulgaria,Hydroregulated,1807
Croatia,Hydroregulated,1446
Greece,Hydroregulated,2403
Hungary,Hydroregulated,28
Macedonia,Hydroregulated,644
Romania,Hydroregulated,3359
Serbia,Hydroregulated,484
Spain,Hydroregulated,15771
Portugal,Hydroregulated,1629
Austria,Hydrorun-of-the-river,5817
Belgium,Hydrorun-of-the-river,186
CzechR,Hydrorun-of-the-river,340
Denmark,Hydrorun-of-the-river,5
Estonia,Hydrorun-of-the-river,8
Finland,Hydrorun-of-the-river,3173
France,Hydrorun-of-the-river,11598
Germany,Hydrorun-of-the-river,3731
Ireland,Hydrorun-of-the-river,216
Italy,Hydrorun-of-the-river,10291
Latvia,Hydrorun-of-the-river,1588
Lithuania,Hydrorun-of-the-river,129
Luxemb.,Hydrorun-of-the-river,22
Netherlands,Hydrorun-of-the-river,38
NO1,Hydrorun-of-the-river,2536
NO2,Hydrorun-of-the-river,1409
NO3,Hydrorun-of-the-river,1399
NO4,Hydrorun-of-the-river,687
NO5,Hydrorun-of-the-river,844
Poland,Hydrorun-of-the-river,322
Slovakia,Hydrorun-of-the-river,1212
Switzerland,Hydrorun-of-the-river,635
GreatBrit.,Hydrorun-of-the-river,1919
BosniaH,Hydrorun-of-the-river,252
Bulgaria,Hydrorun-of-the-river,542
Croatia,Hydrorun-of-the-river,428
Greece,Hydrorun-of-the-river,327
Hungary,Hydrorun-of-the-river,33
Romania,Hydrorun-of-the-river,2780
Serbia,Hydrorun-of-the-river,2053
Slovenia,Hydrorun-of-the-river,1125
Spain,Hydrorun-of-the-river,1155
Portugal,Hydrorun-of-the-river,2856
CzechR,Lignite_existing,7200
Finland,Lignite_existing,1044
Germany,Lignite_existing,18363
Ireland,Lignite_existing,344
Poland,Lignite_existing,7548
Slovakia,Lignite_existing,276
BosniaH,Lignite_existing,1883
Bulgaria,Lignite_existing,4119
Greece,Lignite_existing,2650
Hungary,Lignite_existing,787
Macedonia,Lignite_existing,824
Romania,Lignite_existing,1733
Serbia,Lignite_existing,6011
Slovenia,Lignite_existing,1191
Belgium,Nuclear,3929
CzechR,Nuclear,4040
Finland,Nuclear,4364
France,Nuclear,61370
Germany,Nuclear,4056
Netherlands,Nuclear,486
Slovakia,Nuclear,2003
Sweden,Nuclear,6900
Switzerland,Nuclear,2970
GreatBrit.,Nuclear,6500
Bulgaria,Nuclear,2080
Hungary,Nuclear,1916
Romania,Nuclear,1300
Slovenia,Nuclear,696
Spain,Nuclear,7117
Austria,Oil_existing,125
Belgium,Oil_existing,452
Denmark,Oil_existing,959
Estonia,Oil_existing,1330
Finland,Oil_existing,1051
France,Oil_existing,3042
Germany,Oil_existing,4118
Ireland,Oil_existing,1272
Italy,Oil_existing,1564
Poland,Oil_existing,393
Slovakia,Oil_existing,259
Croatia,Oil_existing,45
Hungary,Oil_existing,425
Macedonia,Oil_existing,165
Slovenia,Oil_existing,58
Spain,Oil_existing,704
Austria,Solar,7294
Belgium,Solar,8789
CzechR,Solar,4008
Denmark,Solar,3866
Estonia,Solar,812
Finland,Solar,419
France,Solar,17419
Germany,Solar,76957
Italy,Solar,5928
Latvia,Solar,303
Lithuania,Solar,1165
Luxemb.,Solar,415
Netherlands,Solar,24261
NO1,Solar,9
NO3,Solar,22
NO4,Solar,77
Poland,Solar,14282
Slovakia,Solar,647
Sweden,Solar,3200
GreatBrit.,Solar,16900
BosniaH,Solar,30
Bulgaria,Solar,4055
Croatia,Solar,285
Greece,Solar,6828
Hungary,Solar,3959
Macedonia,Solar,22
Romania,Solar,1293
Serbia,Solar,29
Slovenia,Solar,1110
Spain,Solar,24154
Portugal,Solar,1811
Austria,Waste,80
Belgium,Waste,384
CzechR,Waste,100
Denmark,Waste,385
Estonia,Waste,17
Finland,Waste,87
France,Waste,968
Germany,Waste,1808
Italy,Waste,670
Lithuania,Waste,70
Luxemb.,Waste,24
Netherlands,Waste,786
NO1,Waste,32
NO2,Waste,22
NO3,Waste,6
NO5,Waste,32
Bulgaria,Waste,6
Croatia,Waste,6
Hungary,Waste,49
Serbia,Waste,32
Slovenia,Waste,6
Spain,Waste,546
France,Wave,243
Belgium,Windoffshore,2262
Denmark,Windoffshore,1526
France,Windoffshore,1483
Germany,Windoffshore,1290
Italy,Windoffshore,30
GreatBrit.,Windoffshore,8013
Portugal,Windoffshore,25
Austria,Windonshore,4021
Belgium,Windonshore,3053
CzechR,Windonshore,342
Denmark,Windonshore,4860
Estonia,Windonshore,447
Finland,Windonshore,6618
France,Windonshore,22134
Germany,Windonshore,59841
Ireland,Windonshore,1919
Italy,Windonshore,11651
Latvia,Windonshore,136
Lithuania,Windonshore,1288
Luxemb.,Windonshore,208
Netherlands,Windonshore,6812
NO1,Windonshore,406
NO2,Windonshore,1447
NO3,Windonshore,2120
NO4,Windonshore,1160
Poland,Windonshore,9628
Slovakia,Windonshore,3
Sweden,Windonshore,16700
GreatBrit.,Windonshore,16000
BosniaH,Windonshore,135
Bulgaria,Windonshore,705
Croatia,Windonshore,1137
Greece,Windonshore,5065
Hungary,Windonshore,325
Macedonia,Windonshore,37
Romania,Windonshore,2958
Serbia,Windonshore,646
Slovenia,Windonshore,3
Spain,Windonshore,30159
Portugal,Windonshore,5333
