GeneratorTechnology,Period,generatorRetirementFactorInitialCap
Bio_existing,1,0.2
Coal_existing,1,0.3846153846153846
Gas_existing,1,0.3173076923076924
Lignite_existing,1,0.3846153846153846
Nuclear,1,0.2
Oil_existing,1,0.4444444444444441
Bio_existing,2,0.6
Coal_existing,2,0.7115384615384616
Gas_existing,2,0.9038461538461539
Lignite_existing,2,0.7115384615384616
Nuclear,2,0.6
Oil_existing,2,0.7592592592592591
Bio_existing,3,1.0
Coal_existing,3,0.95
Gas_existing,3,1.0
Lignite_existing,3,0.95
Nuclear,3,1.0
Oil_existing,3,0.95
Windonshore,3,0.5
Windoffshore,3,0.5
Solar,3,0.5
