FromNode,ToNode,Capacity_(ton/h)
Austria,CzechR,0.0
Austria,Germany,1176.4275023088435
Austria,Hungary,351.1119072640999
Austria,Italy,3098.384623260406
Austria,Slovakia,670.0168784433617
Austria,Slovenia,304.52851820005736
Belgium,Germany,847.4693544791567
Belgium,France,2355.0205407471094
Belgium,GreatBrit.,2174.739657972676
Belgium,Netherlands,1064.3610076112225
Bulgaria,Greece,294.7836056176555
Bulgaria,Romania,76.8223941912678
Bulgaria,Serbia,174.87134502923976
Switzerland,Germany,596.4912280701753
Switzerland,France,248.5380116959064
Switzerland,Italy,1685.231890863348
CzechR,Austria,0.0
CzechR,Germany,2989.5226537371423
CzechR,Poland,75.79376452979203
CzechR,Slovakia,1886.1819687271104
Germany,Austria,1368.077449762746
Germany,Belgium,1058.1350912391326
Germany,Switzerland,1575.4004649533454
Germany,CzechR,7440.816752460111
Germany,Denmark,273.84503678226804
Germany,France,1562.1636253622498
Germany,Netherlands,2522.332677303271
Germany,Poland,576.6281328620107
Denmark,Germany,246.40552848635394
Denmark,Netherlands,1071.9403840642017
Denmark,Poland,0.0
Denmark,Sweden,238.20897423648933
Spain,France,609.0570364001147
Spain,Portugal,389.79650329607335
Estonia,Finland,0.0
Estonia,Latvia,541.3840323556575
Finland,Estonia,0.0
France,Belgium,1648.514378522977
France,Switzerland,704.8820101270659
France,Germany,1535.9877073978535
France,Spain,446.64182669341744
GreatBrit.,Belgium,1705.6303939364986
GreatBrit.,Ireland,925.7666953281743
GreatBrit.,Netherlands,1555.0444253367725
Greece,Bulgaria,473.71345029239757
Greece,Italy,0.0
Croatia,Hungary,205.72593229514982
Croatia,Slovenia,402.6315789473683
Hungary,Austria,0.0
Hungary,Croatia,207.62077640839468
Hungary,Romania,139.6770803477596
Hungary,Serbia,384.5586127830323
Hungary,Slovenia,0.0
Ireland,GreatBrit.,1166.6825897264418
Italy,Austria,3609.9925338365024
Italy,Switzerland,2693.9269450017514
Italy,Slovenia,76.60584057832554
Lithuania,Latvia,182.4464189038566
Lithuania,Poland,0.0
Latvia,Estonia,495.36638960542655
Latvia,Lithuania,175.94981051558864
Netherlands,Belgium,2159.8515970828953
Netherlands,Germany,4989.59487484475
Netherlands,GreatBrit.,1337.2185599184738
NO2,Germany,1863.013698630137
Poland,CzechR,0.0
Poland,Germany,2520.2509474220565
Poland,Denmark,0.0
Poland,Lithuania,0.0
Poland,Slovakia,0.0
Portugal,Spain,216.55361294226302
Romania,Bulgaria,2011.4582338142095
Romania,Hungary,6.767300404445719
Serbia,Bulgaria,0.0
Slovakia,Austria,4166.49151300914
Slovakia,CzechR,1407.598484124709
Slovakia,Hungary,343.68411834018025
Slovakia,Poland,0.0
Slovenia,Austria,305.88197828094644
Slovenia,Croatia,583.8826788955765
Slovenia,Hungary,0.0
Slovenia,Italy,133.70749578038914
NO2,EnergyHubEU,1473.3333333333335
NO3,EnergyHubEU,2040.0000000000005
NO5,EnergyHubEU,4165.0
EnergyHubEU,GreatBrit.,2125.0000000000005
EnergyHubEU,Belgium,1190.0
EnergyHubEU,Germany,2181.666666666667
EnergyHubEU,France,1558.3333333333333
,,
,,
,,
