Node,Terminal,Period,Capacity_(ton/hr)
NO2,DomesticProduction,1,2550.0
NO2,DomesticProduction,2,2550.0000000000005
NO2,DomesticProduction,3,2550.0000000000005
NO5,DomesticProduction,1,4094.1666666666665
NO5,DomesticProduction,2,4094.1666666666665
NO5,DomesticProduction,3,4094.1666666666665
NO3,DomesticProduction,1,2380.0000000000005
NO3,DomesticProduction,2,2380.0000000000005
NO3,DomesticProduction,3,2380.0000000000005
GreatBrit.,DomesticProduction,1,2417.92023870743
GreatBrit.,DomesticProduction,2,2417.92023870743
GreatBrit.,DomesticProduction,3,2417.92023870743
GreatBrit.,LNGImport,1,4236.4
GreatBrit.,LNGImport,2,4236.4
GreatBrit.,LNGImport,3,4236.4
Spain,LNGImport,1,5210.704
Spain,LNGImport,2,5210.704
Spain,LNGImport,3,5210.704
Spain,PipelineImport,1,1921.913314862584
Spain,PipelineImport,2,1921.913314862584
Spain,PipelineImport,3,1921.913314862584
Italy,LNGImport,1,2133.16
Italy,LNGImport,2,2133.16
Italy,LNGImport,3,2133.16
Italy,PipelineImport,1,6817.601056114219
Italy,PipelineImport,2,6817.601056114219
Italy,PipelineImport,3,6817.601056114219
Belgium,LNGImport,1,1802.0000000000002
Belgium,LNGImport,2,1802.0000000000002
Belgium,LNGImport,3,1802.0000000000002
Croatia,LNGImport,1,408.00000000000006
Croatia,LNGImport,2,408.00000000000006
Croatia,LNGImport,3,408.00000000000006
France,LNGImport,1,3821.6000000000004
France,LNGImport,2,3821.6000000000004
France,LNGImport,3,3821.6000000000004
Greece,LNGImport,1,2763.52
Greece,LNGImport,2,2763.52
Greece,LNGImport,3,2763.52
Lithuania,LNGImport,1,312.8
Lithuania,LNGImport,2,312.8
Lithuania,LNGImport,3,312.8
Netherlands,LNGImport,1,1428.0
Netherlands,LNGImport,2,1428.0
Netherlands,LNGImport,3,1428.0
Poland,LNGImport,1,1043.1200000000001
Poland,LNGImport,2,1043.1200000000001
Poland,LNGImport,3,1043.1200000000001
Portugal,LNGImport,1,918.0000000000001
Portugal,LNGImport,2,918.0000000000001
Portugal,LNGImport,3,918.0000000000001
Germany,RussianGas,1,0.0
Germany,RussianGas,2,0.0
Germany,RussianGas,3,0.0
Lithuania,RussianGas,1,0.0
Lithuania,RussianGas,2,0.0
Lithuania,RussianGas,3,0.0
Hungary,RussianGas,1,0.0
Hungary,RussianGas,2,0.0
Hungary,RussianGas,3,0.0
Poland,RussianGas,1,0.0
Poland,RussianGas,2,0.0
Poland,RussianGas,3,0.0
Romania,RussianGas,1,0.0
Romania,RussianGas,2,0.0
Romania,RussianGas,3,0.0
Slovakia,RussianGas,1,0.0
Slovakia,RussianGas,2,0.0
Slovakia,RussianGas,3,0.0
Bulgaria,RussianGas,1,0.0
Bulgaria,RussianGas,2,0.0
Bulgaria,RussianGas,3,0.0
Germany,LNGImport,1,2791.7260273972606
Germany,LNGImport,2,2791.7260273972606
Germany,LNGImport,3,2791.7260273972606
Estonia,LNGImport,1,504.5662100456621
Estonia,LNGImport,2,504.5662100456621
Estonia,LNGImport,3,504.5662100456621
Finland,LNGImport,1,388.12785388127855
Finland,LNGImport,2,388.12785388127855
Finland,LNGImport,3,388.12785388127855
Ireland,LNGImport,1,807.3059360730595
Ireland,LNGImport,2,807.3059360730595
Ireland,LNGImport,3,807.3059360730595
Latvia,LNGImport,1,476.00000000000006
Latvia,LNGImport,2,476.00000000000006
Latvia,LNGImport,3,476.00000000000006
