Node,Terminal,Period,GasScenario,Cost_(EUR/ton)
NO2,DomesticProduction,1,1,230.47166555292696
NO2,DomesticProduction,2,1,235.21454355859802
NO2,DomesticProduction,3,1,239.95742156426897
NO2,DomesticProduction,1,2,424.04549922966817
NO2,DomesticProduction,2,2,428.7883772353392
NO2,DomesticProduction,3,2,433.5312552410102
NO5,DomesticProduction,1,1,230.47166555292696
NO5,DomesticProduction,2,1,235.21454355859802
NO5,DomesticProduction,3,1,239.95742156426897
NO5,DomesticProduction,1,2,424.04549922966817
NO5,DomesticProduction,2,2,428.7883772353392
NO5,DomesticProduction,3,2,433.5312552410102
NO3,DomesticProduction,1,1,230.47166555292696
NO3,DomesticProduction,2,1,235.21454355859802
NO3,DomesticProduction,3,1,239.95742156426897
NO3,DomesticProduction,1,2,424.04549922966817
NO3,DomesticProduction,2,2,428.7883772353392
NO3,DomesticProduction,3,2,433.5312552410102
GreatBrit.,DomesticProduction,1,1,230.47166555292696
GreatBrit.,DomesticProduction,2,1,235.21454355859802
GreatBrit.,DomesticProduction,3,1,239.95742156426897
GreatBrit.,DomesticProduction,1,2,424.04549922966817
GreatBrit.,DomesticProduction,2,2,428.7883772353392
GreatBrit.,DomesticProduction,3,2,433.5312552410102
GreatBrit.,LNGImport,1,1,230.47166555292696
GreatBrit.,LNGImport,2,1,235.21454355859802
GreatBrit.,LNGImport,3,1,239.95742156426897
GreatBrit.,LNGImport,1,2,424.04549922966817
GreatBrit.,LNGImport,2,2,428.7883772353392
GreatBrit.,LNGImport,3,2,433.5312552410102
Italy,LNGImport,1,1,230.47166555292696
Italy,LNGImport,2,1,235.21454355859802
Italy,LNGImport,3,1,239.95742156426897
Italy,LNGImport,1,2,424.04549922966817
Italy,LNGImport,2,2,428.7883772353392
Italy,LNGImport,3,2,433.5312552410102
Italy,PipelineImport,1,1,230.47166555292696
Italy,PipelineImport,2,1,235.21454355859802
Italy,PipelineImport,3,1,239.95742156426897
Italy,PipelineImport,1,2,424.04549922966817
Italy,PipelineImport,2,2,428.7883772353392
Italy,PipelineImport,3,2,433.5312552410102
Belgium,LNGImport,1,1,230.47166555292696
Belgium,LNGImport,2,1,235.21454355859802
Belgium,LNGImport,3,1,239.95742156426897
Belgium,LNGImport,1,2,424.04549922966817
Belgium,LNGImport,2,2,428.7883772353392
Belgium,LNGImport,3,2,433.5312552410102
France,LNGImport,1,1,230.47166555292696
France,LNGImport,2,1,235.21454355859802
France,LNGImport,3,1,239.95742156426897
France,LNGImport,1,2,424.04549922966817
France,LNGImport,2,2,428.7883772353392
France,LNGImport,3,2,433.5312552410102
Lithuania,LNGImport,1,1,230.47166555292696
Lithuania,LNGImport,2,1,235.21454355859802
Lithuania,LNGImport,3,1,239.95742156426897
Lithuania,LNGImport,1,2,424.04549922966817
Lithuania,LNGImport,2,2,428.7883772353392
Lithuania,LNGImport,3,2,433.5312552410102
Netherlands,LNGImport,1,1,230.47166555292696
