Node,Terminal,Period,Scenario,Cost_(EUR/ton)
NO2,DomesticProduction,1,1,327.2585823912976
NO2,DomesticProduction,2,1,332.00146039696864
NO2,DomesticProduction,3,1,336.7443384026396
NO5,DomesticProduction,1,1,327.2585823912976
NO5,DomesticProduction,2,1,332.00146039696864
NO5,DomesticProduction,3,1,336.7443384026396
NO3,DomesticProduction,1,1,327.2585823912976
NO3,DomesticProduction,2,1,332.00146039696864
NO3,DomesticProduction,3,1,336.7443384026396
GreatBrit.,DomesticProduction,1,1,327.2585823912976
GreatBrit.,DomesticProduction,2,1,332.00146039696864
GreatBrit.,DomesticProduction,3,1,336.7443384026396
GreatBrit.,LNGImport,1,1,327.2585823912976
GreatBrit.,LNGImport,2,1,332.00146039696864
GreatBrit.,LNGImport,3,1,336.7443384026396
Italy,LNGImport,1,1,327.2585823912976
Italy,LNGImport,2,1,332.00146039696864
Italy,LNGImport,3,1,336.7443384026396
Italy,PipelineImport,1,1,327.2585823912976
Italy,PipelineImport,2,1,332.00146039696864
Italy,PipelineImport,3,1,336.7443384026396
Belgium,LNGImport,1,1,327.2585823912976
Belgium,LNGImport,2,1,332.00146039696864
Belgium,LNGImport,3,1,336.7443384026396
France,LNGImport,1,1,327.2585823912976
France,LNGImport,2,1,332.00146039696864
France,LNGImport,3,1,336.7443384026396
Lithuania,LNGImport,1,1,327.2585823912976
Lithuania,LNGImport,2,1,332.00146039696864
Lithuania,LNGImport,3,1,336.7443384026396
Netherlands,LNGImport,1,1,327.2585823912976
Netherlands,LNGImport,2,1,332.00146039696864
Netherlands,LNGImport,3,1,336.7443384026396
Poland,LNGImport,1,1,327.2585823912976
Poland,LNGImport,2,1,332.00146039696864
Poland,LNGImport,3,1,336.7443384026396
Germany,RussianGas,1,1,327.2585823912976
Germany,RussianGas,2,1,332.00146039696864
Germany,RussianGas,3,1,336.7443384026396
Lithuania,RussianGas,1,1,327.2585823912976
Lithuania,RussianGas,2,1,332.00146039696864
Lithuania,RussianGas,3,1,336.7443384026396
Poland,RussianGas,1,1,327.2585823912976
Poland,RussianGas,2,1,332.00146039696864
Poland,RussianGas,3,1,336.7443384026396
Slovakia,RussianGas,1,1,327.2585823912976
Slovakia,RussianGas,2,1,332.00146039696864
Slovakia,RussianGas,3,1,336.7443384026396
Germany,LNGImport,1,1,327.2585823912976
Germany,LNGImport,2,1,332.00146039696864
Germany,LNGImport,3,1,336.7443384026396
Estonia,LNGImport,1,1,327.2585823912976
Estonia,LNGImport,2,1,332.00146039696864
Estonia,LNGImport,3,1,336.7443384026396
Finland,LNGImport,1,1,327.2585823912976
Finland,LNGImport,2,1,332.00146039696864
Finland,LNGImport,3,1,336.7443384026396
Ireland,LNGImport,1,1,327.2585823912976
Ireland,LNGImport,2,1,332.00146039696864
Ireland,LNGImport,3,1,336.7443384026396
Latvia,LNGImport,1,1,327.2585823912976
Latvia,LNGImport,2,1,332.00146039696864
Latvia,LNGImport,3,1,336.7443384026396
Spain,LNGImport,1,1,327.2585823912976
Spain,LNGImport,2,1,332.00146039696864
Spain,LNGImport,3,1,336.7443384026396
Spain,PipelineImport,1,1,327.2585823912976
Spain,PipelineImport,2,1,332.00146039696864
Spain,PipelineImport,3,1,336.7443384026396
Portugal,LNGImport,1,1,327.2585823912976
Portugal,LNGImport,2,1,332.00146039696864
Portugal,LNGImport,3,1,336.7443384026396
Greece,LNGImport,1,1,327.2585823912976
Greece,LNGImport,2,1,332.00146039696864
Greece,LNGImport,3,1,336.7443384026396
Croatia,LNGImport,1,1,327.2585823912976
Croatia,LNGImport,2,1,332.00146039696864
Croatia,LNGImport,3,1,336.7443384026396
Hungary,RussianGas,1,1,327.2585823912976
Hungary,RussianGas,2,1,332.00146039696864
Hungary,RussianGas,3,1,336.7443384026396
Romania,RussianGas,1,1,327.2585823912976
Romania,RussianGas,2,1,332.00146039696864
Romania,RussianGas,3,1,336.7443384026396
Bulgaria,RussianGas,1,1,327.2585823912976
Bulgaria,RussianGas,2,1,332.00146039696864
Bulgaria,RussianGas,3,1,336.7443384026396
