Node,Latitude
Austria,47.46
BosniaH,44.06
Belgium,50.72
Bulgaria,42.71
Switzerland,46.82
CzechR,49.87
Germany,51.04
Denmark,56.17
Estonia,58.79
Spain,40.31
Finland,63.9
France,46.74
GreatBrit.,52.67
Greece,39.13
Croatia,45.58
Hungary,46.99
Ireland,53.09
Italy,44.4
Lithuania,55.3
Luxemb.,49.75
Latvia,56.85
Macedonia,41.57
Netherlands,52.14
NO1,60.11
NO2,59.04
NO3,63.09
NO4,68.27
NO5,60.68
Poland,52.16
Portugal,39.74
Romania,46.01
Serbia,44.25
Sweden,62.67
Slovenia,46.07
Slovakia,48.68
EnergyHubEU,55.07258
BalticCountries_BalticSea,58.76955125951766
BE_PrincessElisabeth,51.46641148491695
DE_NorthSea,54.81229476208837
DE_BalticSea,54.47137639711149
DK_BalticSea,55.09510359869735
DK_NorthSea,56.18549166260103
FI_BalticSea,61.74264977652761
FR_ChannelSea,50.01957606558253
FR_Atlantic,46.85273138283268
IE_Atlantic,52.65409714737475
NL_Lagelander,54.1260024947054
NO_Vestavind,57.90052589115469
NO_Sørvest,60.98813833327026
PL_BalticSea,54.90943031484906
SE_BotnieGulf,62.6134668651004
SE_BalticSea,57.93667196302894
SE_Luleå,55.94942355120947
GB_DoggerBank,54.81560890576561
GB_ScotlandEast,57.81804897067765
GB_SheppeyIsland,51.42690718755377
GB_IrelandSea,53.1811898522248
GB_CelticSea,49.8142144649632
