Nodes,Period,NodeLostLoadCost
Austria,1,22000
BosniaH,1,22000
Belgium,1,22000
Bulgaria,1,22000
Switzerland,1,22000
CzechR,1,22000
Germany,1,22000
Denmark,1,22000
Estonia,1,22000
Spain,1,22000
Finland,1,22000
France,1,22000
GreatBrit.,1,22000
Greece,1,22000
Croatia,1,22000
Hungary,1,22000
Ireland,1,22000
Italy,1,22000
Lithuania,1,22000
Luxemb.,1,22000
Latvia,1,22000
Macedonia,1,22000
Netherlands,1,22000
NO1,1,22000
NO2,1,22000
NO3,1,22000
NO4,1,22000
NO5,1,22000
Poland,1,22000
Portugal,1,22000
Romania,1,22000
Serbia,1,22000
Sweden,1,22000
Slovenia,1,22000
Slovakia,1,22000
Austria,2,22000
BosniaH,2,22000
Belgium,2,22000
Bulgaria,2,22000
Switzerland,2,22000
CzechR,2,22000
Germany,2,22000
Denmark,2,22000
Estonia,2,22000
Spain,2,22000
Finland,2,22000
France,2,22000
GreatBrit.,2,22000
Greece,2,22000
Croatia,2,22000
Hungary,2,22000
Ireland,2,22000
Italy,2,22000
Lithuania,2,22000
Luxemb.,2,22000
Latvia,2,22000
Macedonia,2,22000
Netherlands,2,22000
NO1,2,22000
NO2,2,22000
NO3,2,22000
NO4,2,22000
NO5,2,22000
Poland,2,22000
Portugal,2,22000
Romania,2,22000
Serbia,2,22000
Sweden,2,22000
Slovenia,2,22000
Slovakia,2,22000
Austria,3,22000
BosniaH,3,22000
Belgium,3,22000
Bulgaria,3,22000
Switzerland,3,22000
CzechR,3,22000
Germany,3,22000
Denmark,3,22000
Estonia,3,22000
Spain,3,22000
Finland,3,22000
France,3,22000
GreatBrit.,3,22000
Greece,3,22000
Croatia,3,22000
Hungary,3,22000
Ireland,3,22000
Italy,3,22000
Lithuania,3,22000
Luxemb.,3,22000
Latvia,3,22000
Macedonia,3,22000
Netherlands,3,22000
NO1,3,22000
NO2,3,22000
NO3,3,22000
NO4,3,22000
NO5,3,22000
Poland,3,22000
Portugal,3,22000
Romania,3,22000
Serbia,3,22000
Sweden,3,22000
Slovenia,3,22000
Slovakia,3,22000
