Nodes,Period,ElectricAdjustment_in_MWh_per_hour
Austria,1,93716107.0499005
Belgium,1,101556113.96358956
Bulgaria,1,55935922.05236714
Switzerland,1,66483260.76586738
CzechR,1,113650274.99098003
Germany,1,731733771.9636421
Denmark,1,40455650.89414153
Estonia,1,15294219.735448869
Spain,1,301505254.694557
Finland,1,94153429.64010003
France,1,625214262.0844196
GreatBrit.,1,376630480.58701396
Greece,1,59559140.64934453
Croatia,1,15304356.698220981
Hungary,1,47323709.51213991
Ireland,1,34762861.57060696
Italy,1,385876068.1950724
Lithuania,1,11555397.184727
Luxemb.,1,5951518.840487365
Latvia,1,11423981.049606565
Netherlands,1,126948911.51080577
NO1,1,32572073.669567294
NO2,1,42650428.30275179
NO3,1,26145296.80202935
NO4,1,22493719.03638279
NO5,1,22201592.81513107
Poland,1,216741738.30687454
Portugal,1,70755851.17851427
Romania,1,99535121.89659414
Sweden,1,196786581.45276868
Slovenia,1,17598790.008189544
Slovakia,1,51954489.30612599
Austria,2,128616741.32063296
Belgium,2,149193972.86643285
Bulgaria,2,61586114.86074781
Switzerland,2,73637164.67479719
CzechR,2,144262718.83612958
Germany,2,1021501279.0340645
Denmark,2,50463597.72856241
Estonia,2,17132158.80077577
Spain,2,347427037.66134626
Finland,2,119033318.46687146
France,2,739922152.4576741
GreatBrit.,2,432629236.8969304
Greece,2,76349092.20848404
Croatia,2,18849203.706526477
Hungary,2,70469851.26112334
Ireland,2,43630033.96786151
Italy,2,474435172.61574167
Lithuania,2,17119985.869973216
Luxemb.,2,9103386.304408697
Latvia,2,16064916.794314524
Netherlands,2,190358516.71662384
NO1,2,32377584.035112206
NO2,2,42395760.26122316
NO3,2,25989181.803968992
NO4,2,22359407.809001256
NO5,2,22069025.889403835
Poland,2,274357035.3045688
Portugal,2,80972145.22711071
Romania,2,135013004.09649095
Sweden,2,217009297.11544514
Slovenia,2,21973009.533624593
Slovakia,2,71558597.27534519
Austria,3,119564081.26910496
Belgium,3,135850354.12091488
Bulgaria,3,56929132.328560755
Switzerland,3,67820764.28998207
CzechR,3,133511550.94079854
Germany,3,997091677.5473269
Denmark,3,48535602.58625362
Estonia,3,16041707.410363
Spain,3,362952040.19082695
Finland,3,108979196.57593308
France,3,659174270.4730291
GreatBrit.,3,409206769.3822281
Greece,3,72914981.70622136
Croatia,3,16955285.051490683
Hungary,3,62830376.50320087
Ireland,3,42787370.903746255
Italy,3,448184775.97495544
Lithuania,3,16242043.529040331
Luxemb.,3,8335887.009313831
Latvia,3,15487726.67030494
Netherlands,3,184810328.10583097
NO1,3,31213107.49813832
NO2,3,40870974.84061161
NO3,3,25054467.453662597
NO4,3,21555240.15566503
NO5,3,21275301.971825223
Poland,3,260225576.35243574
Portugal,3,76542296.87812337
Romania,3,121387788.28474276
Sweden,3,202895327.9302392
Slovenia,3,20397300.238134895
Slovakia,3,72956996.74554396
BosniaH,1,13473889.908317154
Macedonia,1,8758028.44040615
Serbia,1,45137531.192862466
BosniaH,2,15332703.413763713
Macedonia,2,9966257.218946414
Serbia,2,51364556.43610845
BosniaH,3,14591399.349108793
Macedonia,3,9484409.576920714
Serbia,3,48881187.81951446
