NodeFrom,NodeTo
Switzerland,Austria
CzechR,Austria
Germany,Austria
Hungary,Austria
Italy,Austria
Slovenia,Austria
Slovakia,Austria
Croatia,BosniaH
Italy,BosniaH
Serbia,BosniaH
Germany,Belgium
France,Belgium
GreatBrit.,Belgium
Luxemb.,Belgium
Netherlands,Belgium
NO2,Belgium
Greece,Bulgaria
Macedonia,Bulgaria
Romania,Bulgaria
Serbia,Bulgaria
Austria,CzechR
Germany,Switzerland
France,Switzerland
Italy,Switzerland
Switzerland,France
Germany,CzechR
Poland,CzechR
Slovakia,CzechR
Austria,Germany
Belgium,Germany
Switzerland,Germany
CzechR,Germany
Denmark,Germany
France,Germany
Italy,Germany
Luxemb.,Germany
Netherlands,Germany
NO2,Germany
Poland,Germany
Sweden,Germany
Germany,Denmark
GreatBrit.,Denmark
Netherlands,Denmark
NO2,Denmark
Poland,Denmark
Sweden,Denmark
Finland,Estonia
Latvia,Estonia
Sweden,Estonia
France,Spain
Ireland,Spain
Portugal,Spain
Estonia,Finland
NO4,Finland
Sweden,Finland
Belgium,France
Austria,Hungary
Germany,France
Spain,France
GreatBrit.,France
Ireland,France
Italy,France
Luxemb.,France
NO2,France
Belgium,GreatBrit.
Denmark,GreatBrit.
France,GreatBrit.
Ireland,GreatBrit.
Netherlands,GreatBrit.
NO2,GreatBrit.
NO5,GreatBrit.
Bulgaria,Greece
Italy,Greece
Macedonia,Greece
BosniaH,Croatia
Hungary,Croatia
Italy,Croatia
Serbia,Croatia
Slovenia,Croatia
Austria,Italy
Croatia,Hungary
Poland,Hungary
Romania,Hungary
Serbia,Hungary
Slovenia,Hungary
Slovakia,Hungary
Spain,Ireland
France,Ireland
GreatBrit.,Ireland
Switzerland,Italy
BosniaH,Italy
Austria,Slovakia
Germany,Italy
France,Italy
Greece,Italy
Croatia,Italy
Slovenia,Italy
Latvia,Lithuania
Poland,Lithuania
Sweden,Lithuania
Belgium,Luxemb.
Germany,Luxemb.
France,Luxemb.
Estonia,Latvia
Lithuania,Latvia
Sweden,Latvia
Bulgaria,Macedonia
Greece,Macedonia
Serbia,Macedonia
Belgium,Netherlands
Germany,Netherlands
Denmark,Netherlands
GreatBrit.,Netherlands
NO2,Netherlands
NO2,NO1
NO3,NO1
NO5,NO1
Sweden,NO1
Belgium,NO2
Germany,NO2
Denmark,NO2
GreatBrit.,NO2
Netherlands,NO2
France,NO2
NO1,NO2
NO5,NO2
NO1,NO3
NO4,NO3
NO5,NO3
Sweden,NO3
Finland,NO4
NO3,NO4
Sweden,NO4
NO1,NO5
NO2,NO5
NO3,NO5
GreatBrit.,NO5
CzechR,Poland
Germany,Poland
Denmark,Poland
Hungary,Poland
Lithuania,Poland
Sweden,Poland
Slovakia,Poland
Spain,Portugal
Bulgaria,Romania
Hungary,Romania
Serbia,Romania
BosniaH,Serbia
Bulgaria,Serbia
Croatia,Serbia
Hungary,Serbia
Macedonia,Serbia
Romania,Serbia
Germany,Sweden
Denmark,Sweden
Estonia,Sweden
Finland,Sweden
Lithuania,Sweden
Latvia,Sweden
NO1,Sweden
NO3,Sweden
NO4,Sweden
Poland,Sweden
Austria,Slovenia
Croatia,Slovenia
Hungary,Slovenia
Italy,Slovenia
Austria,Switzerland
CzechR,Slovakia
Hungary,Slovakia
Poland,Slovakia
Estonia,BalticCountries_BalticSea
Latvia,BalticCountries_BalticSea
Lithuania,BalticCountries_BalticSea
GreatBrit.,BE_PrincessElisabeth
EnergyHubEU,BE_PrincessElisabeth
NL_Lagelander,BE_PrincessElisabeth
GB_SheppeyIsland,BE_PrincessElisabeth
BE_PrincessElisabeth,Belgium
EnergyHubEU,Belgium
NL_Lagelander,Belgium
DK_NorthSea,DE_NorthSea
EnergyHubEU,DE_NorthSea
GB_DoggerBank,DE_NorthSea
NL_Lagelander,DE_NorthSea
Germany,DE_BalticSea
Germany,DE_NorthSea
DK_BalticSea,Denmark
DK_NorthSea,Denmark
EnergyHubEU,Denmark
EnergyHubEU,DK_NorthSea
GB_DoggerBank,DK_NorthSea
NO_Sørvest,DK_NorthSea
FR_ChannelSea,EnergyHubEU
GB_DoggerBank,EnergyHubEU
GB_ScotlandEast,EnergyHubEU
GB_SheppeyIsland,EnergyHubEU
Germany,EnergyHubEU
GreatBrit.,EnergyHubEU
Netherlands,EnergyHubEU
NL_Lagelander,EnergyHubEU
NO_Sørvest,EnergyHubEU
NO_Vestavind,EnergyHubEU
NO2,EnergyHubEU
NO3,EnergyHubEU
NO5,EnergyHubEU
FI_BalticSea,Finland
GreatBrit.,FR_ChannelSea
Spain,FR_Atlantic
FR_Atlantic,France
FR_ChannelSea,France
GreatBrit.,GB_CelticSea
Ireland,GB_CelticSea
GreatBrit.,GB_DoggerBank
NO_Sørvest,GB_DoggerBank
GreatBrit.,GB_IrelandSea
Ireland,GB_IrelandSea
GreatBrit.,GB_ScotlandEast
NO_Sørvest,GB_ScotlandEast
NO_Vestavind,GB_ScotlandEast
GreatBrit.,GB_SheppeyIsland
NL_Lagelander,GB_SheppeyIsland
IE_Atlantic,Ireland
NL_Lagelander,Netherlands
NO_Sørvest,NO2
NO_Vestavind,NO2
NO_Vestavind,NO3
NO_Sørvest,NO5
NO_Vestavind,NO5
PL_BalticSea,Poland
SE_BalticSea,Sweden
SE_BotnieGulf,Sweden
SE_Luleå,Sweden
BalticCountries_BalticSea,Estonia
BalticCountries_BalticSea,Latvia
BalticCountries_BalticSea,Lithuania
BE_PrincessElisabeth,GreatBrit.
BE_PrincessElisabeth,EnergyHubEU
BE_PrincessElisabeth,NL_Lagelander
BE_PrincessElisabeth,GB_SheppeyIsland
Belgium,BE_PrincessElisabeth
Belgium,EnergyHubEU
Belgium,NL_Lagelander
DE_NorthSea,DK_NorthSea
DE_NorthSea,EnergyHubEU
DE_NorthSea,GB_DoggerBank
DE_NorthSea,NL_Lagelander
DE_BalticSea,Germany
DE_NorthSea,Germany
Denmark,DK_BalticSea
Denmark,DK_NorthSea
Denmark,EnergyHubEU
DK_NorthSea,EnergyHubEU
DK_NorthSea,GB_DoggerBank
DK_NorthSea,NO_Sørvest
EnergyHubEU,FR_ChannelSea
EnergyHubEU,GB_DoggerBank
EnergyHubEU,GB_ScotlandEast
EnergyHubEU,GB_SheppeyIsland
EnergyHubEU,Germany
EnergyHubEU,GreatBrit.
EnergyHubEU,Netherlands
EnergyHubEU,NL_Lagelander
EnergyHubEU,NO_Sørvest
EnergyHubEU,NO_Vestavind
EnergyHubEU,NO2
EnergyHubEU,NO3
EnergyHubEU,NO5
Finland,FI_BalticSea
FR_ChannelSea,GreatBrit.
France,FR_Atlantic
France,FR_ChannelSea
GB_CelticSea,GreatBrit.
GB_CelticSea,Ireland
GB_DoggerBank,GreatBrit.
GB_DoggerBank,NO_Sørvest
GB_IrelandSea,GreatBrit.
GB_IrelandSea,Ireland
GB_ScotlandEast,GreatBrit.
GB_ScotlandEast,NO_Sørvest
GB_ScotlandEast,NO_Vestavind
GB_SheppeyIsland,GreatBrit.
GB_SheppeyIsland,NL_Lagelander
Ireland,IE_Atlantic
FR_Atlantic,Spain
Netherlands,NL_Lagelander
NO2,NO_Sørvest
NO2,NO_Vestavind
NO3,NO_Vestavind
NO5,NO_Sørvest
NO5,NO_Vestavind
Poland,PL_BalticSea
Sweden,SE_BalticSea
Sweden,SE_BotnieGulf
Sweden,SE_Luleå
