Technology,Generator
Bio,Bio_existing
Bio,Bio
CCS,LigniteCCS
CCS,Bio10cofiringCCS
CCS,CoalCCS
CCS,GasCCS
Coal,Lignite_existing
Coal,Lignite
Coal,LigniteCCS
Coal,Coal_existing
Coal,Coal
Coal,CoalCCS
CoFire,Bio10cofiring
CoFire,Bio10cofiringCCS
Existing,Lignite_existing
Existing,Coal_existing
Existing,Gas_existing
Existing,Oil_existing
Existing,Bio_existing
Gas,Gas_existing
Gas,GasOCGT
Gas,GasCCGT
Gas,GasCCS
Geo,Geo
Hcoal,Coal_existing
Hcoal,Coal
Hcoal,CoalCCS
Hydro_reg,Hydroregulated
Hydro_ror,Hydrorun-of-the-river
Hydrogen,HydrogenOCGT
Hydrogen,HydrogenCCGT
Hydrogen,Hydrogenfuelcell
Lignite,Lignite_existing
Lignite,Lignite
Lignite,LigniteCCS
Nuclear,Nuclear
Oil,Oil_existing
Solar,Solar
Waste,Waste
Wave,Wave
Wind_offshr_floating,Windoffshorefloating
Wind_offshr_grounded,Windoffshoregrounded
Wind_offshr,Windoffshore
Wind_onshr,Windonshore
