Nodes,StorageTypes,Period,InitialPowerCapacity
Austria,HydroPumpStorage,1,3485
Belgium,HydroPumpStorage,1,1308
CzechR,HydroPumpStorage,1,1172
Denmark,HydroPumpStorage,1,0
Estonia,HydroPumpStorage,1,0
Finland,HydroPumpStorage,1,0
France,HydroPumpStorage,1,5065
Germany,HydroPumpStorage,1,9449
Ireland,HydroPumpStorage,1,292
Italy,HydroPumpStorage,1,7256
Latvia,HydroPumpStorage,1,0
Lithuania,HydroPumpStorage,1,900
Luxemb.,HydroPumpStorage,1,0
Netherlands,HydroPumpStorage,1,0
NO1,HydroPumpStorage,1,0
NO2,HydroPumpStorage,1,522
NO3,HydroPumpStorage,1,60
NO4,HydroPumpStorage,1,0
NO5,HydroPumpStorage,1,483
Poland,HydroPumpStorage,1,1591
Slovakia,HydroPumpStorage,1,0
Sweden,HydroPumpStorage,1,0
Switzerland,HydroPumpStorage,1,6697
GreatBrit.,HydroPumpStorage,1,0
Austria,HydroPumpStorage,2,3485
Belgium,HydroPumpStorage,2,1308
CzechR,HydroPumpStorage,2,1172
Denmark,HydroPumpStorage,2,0
Estonia,HydroPumpStorage,2,0
Finland,HydroPumpStorage,2,0
France,HydroPumpStorage,2,5065
Germany,HydroPumpStorage,2,9449
Ireland,HydroPumpStorage,2,292
Italy,HydroPumpStorage,2,7256
Latvia,HydroPumpStorage,2,0
Lithuania,HydroPumpStorage,2,900
Luxemb.,HydroPumpStorage,2,0
Netherlands,HydroPumpStorage,2,0
NO1,HydroPumpStorage,2,0
NO2,HydroPumpStorage,2,522
NO3,HydroPumpStorage,2,60
NO4,HydroPumpStorage,2,0
NO5,HydroPumpStorage,2,483
Poland,HydroPumpStorage,2,1591
Slovakia,HydroPumpStorage,2,0
Sweden,HydroPumpStorage,2,0
Switzerland,HydroPumpStorage,2,6697
GreatBrit.,HydroPumpStorage,2,0
Austria,HydroPumpStorage,3,3485
Belgium,HydroPumpStorage,3,1308
CzechR,HydroPumpStorage,3,1172
Denmark,HydroPumpStorage,3,0
Estonia,HydroPumpStorage,3,0
Finland,HydroPumpStorage,3,0
France,HydroPumpStorage,3,5065
Germany,HydroPumpStorage,3,9449
Ireland,HydroPumpStorage,3,292
Italy,HydroPumpStorage,3,7256
Latvia,HydroPumpStorage,3,0
Lithuania,HydroPumpStorage,3,900
Luxemb.,HydroPumpStorage,3,0
Netherlands,HydroPumpStorage,3,0
NO1,HydroPumpStorage,3,0
NO2,HydroPumpStorage,3,522
NO3,HydroPumpStorage,3,60
NO4,HydroPumpStorage,3,0
NO5,HydroPumpStorage,3,483
Poland,HydroPumpStorage,3,1591
Slovakia,HydroPumpStorage,3,0
Sweden,HydroPumpStorage,3,0
Switzerland,HydroPumpStorage,3,6697
GreatBrit.,HydroPumpStorage,3,0
BosniaH,HydroPumpStorage,1,440
Bulgaria,HydroPumpStorage,1,864
Croatia,HydroPumpStorage,1,281
Greece,HydroPumpStorage,1,699
Hungary,HydroPumpStorage,1,0
Macedonia,HydroPumpStorage,1,0
Romania,HydroPumpStorage,1,0
Serbia,HydroPumpStorage,1,642
Slovenia,HydroPumpStorage,1,180
Portugal,HydroPumpStorage,1,3707
Spain,HydroPumpStorage,1,3418
BosniaH,HydroPumpStorage,2,440
Bulgaria,HydroPumpStorage,2,864
Croatia,HydroPumpStorage,2,281
Greece,HydroPumpStorage,2,699
Hungary,HydroPumpStorage,2,0
Macedonia,HydroPumpStorage,2,0
Romania,HydroPumpStorage,2,0
Serbia,HydroPumpStorage,2,642
Slovenia,HydroPumpStorage,2,180
Portugal,HydroPumpStorage,2,3707
Spain,HydroPumpStorage,2,3418
BosniaH,HydroPumpStorage,3,440
Bulgaria,HydroPumpStorage,3,864
Croatia,HydroPumpStorage,3,281
Greece,HydroPumpStorage,3,699
Hungary,HydroPumpStorage,3,0
Macedonia,HydroPumpStorage,3,0
Romania,HydroPumpStorage,3,0
Serbia,HydroPumpStorage,3,642
Slovenia,HydroPumpStorage,3,180
Portugal,HydroPumpStorage,3,3707
Spain,HydroPumpStorage,3,3418
