Nodes,StorageTypes,PowerMaxInstalledCapacity
Austria,HydroPumpStorage,5227.5
Belgium,HydroPumpStorage,1962.0
CzechR,HydroPumpStorage,1758.0
Denmark,HydroPumpStorage,0.0
Estonia,HydroPumpStorage,0.0
Finland,HydroPumpStorage,0.0
France,HydroPumpStorage,7597.5
Germany,HydroPumpStorage,14173.5
Ireland,HydroPumpStorage,438.0
Italy,HydroPumpStorage,10884.0
Latvia,HydroPumpStorage,0.0
Lithuania,HydroPumpStorage,1350.0
Luxemb.,HydroPumpStorage,0.0
Netherlands,HydroPumpStorage,0.0
NO1,HydroPumpStorage,0.0
NO2,HydroPumpStorage,783.0
NO3,HydroPumpStorage,90.0
NO4,HydroPumpStorage,0.0
NO5,HydroPumpStorage,724.5
Poland,HydroPumpStorage,2386.5
Slovakia,HydroPumpStorage,0.0
Sweden,HydroPumpStorage,0.0
Switzerland,HydroPumpStorage,10045.5
GreatBrit.,HydroPumpStorage,0.0
BosniaH,HydroPumpStorage,660.0
Bulgaria,HydroPumpStorage,1296.0
Croatia,HydroPumpStorage,421.5
Greece,HydroPumpStorage,1048.5
Hungary,HydroPumpStorage,0.0
Macedonia,HydroPumpStorage,0.0
Romania,HydroPumpStorage,0.0
Serbia,HydroPumpStorage,963.0
Slovenia,HydroPumpStorage,270.0
Portugal,HydroPumpStorage,5560.5
Spain,HydroPumpStorage,5127.0
Austria,Li-Ion_BESS,20000000.0
BosniaH,Li-Ion_BESS,20000000.0
Belgium,Li-Ion_BESS,20000000.0
Bulgaria,Li-Ion_BESS,20000000.0
Switzerland,Li-Ion_BESS,20000000.0
CzechR,Li-Ion_BESS,20000000.0
Germany,Li-Ion_BESS,20000000.0
Denmark,Li-Ion_BESS,20000000.0
Estonia,Li-Ion_BESS,20000000.0
Spain,Li-Ion_BESS,20000000.0
Finland,Li-Ion_BESS,20000000.0
France,Li-Ion_BESS,20000000.0
GreatBrit.,Li-Ion_BESS,20000000.0
Greece,Li-Ion_BESS,20000000.0
Croatia,Li-Ion_BESS,20000000.0
Hungary,Li-Ion_BESS,20000000.0
Ireland,Li-Ion_BESS,20000000.0
Italy,Li-Ion_BESS,20000000.0
Lithuania,Li-Ion_BESS,20000000.0
Luxemb.,Li-Ion_BESS,20000000.0
Latvia,Li-Ion_BESS,20000000.0
Macedonia,Li-Ion_BESS,20000000.0
Netherlands,Li-Ion_BESS,20000000.0
NO1,Li-Ion_BESS,20000000.0
NO2,Li-Ion_BESS,20000000.0
NO3,Li-Ion_BESS,20000000.0
NO4,Li-Ion_BESS,20000000.0
NO5,Li-Ion_BESS,20000000.0
Poland,Li-Ion_BESS,20000000.0
Portugal,Li-Ion_BESS,20000000.0
Romania,Li-Ion_BESS,20000000.0
Serbia,Li-Ion_BESS,20000000.0
Sweden,Li-Ion_BESS,20000000.0
Slovenia,Li-Ion_BESS,20000000.0
Slovakia,Li-Ion_BESS,20000000.0
