FromNode,ToNode,lineEfficiency
Switzerland,Austria,0.97
CzechR,Austria,0.97
Germany,Austria,0.97
Hungary,Austria,0.97
Italy,Austria,0.97
Slovenia,Austria,0.97
Slovakia,Austria,0.97
France,Belgium,0.97
Luxemb.,Belgium,0.97
Netherlands,Belgium,0.97
GreatBrit.,Belgium,0.97
Germany,Belgium,0.97
NO2,Belgium,0.97
Croatia,BosniaH,0.97
Serbia,BosniaH,0.97
Italy,BosniaH,0.97
Greece,Bulgaria,0.97
Macedonia,Bulgaria,0.97
Romania,Bulgaria,0.97
Serbia,Bulgaria,0.97
Hungary,Croatia,0.97
Serbia,Croatia,0.97
Slovenia,Croatia,0.97
Italy,Croatia,0.97
Germany,CzechR,0.97
Poland,CzechR,0.97
Slovakia,CzechR,0.97
NO2,Denmark,0.97
Sweden,Denmark,0.97
Netherlands,Denmark,0.97
GreatBrit.,Denmark,0.97
Poland,Denmark,0.97
Finland,Estonia,0.97
Latvia,Estonia,0.97
Sweden,Estonia,0.97
NO4,Finland,0.97
Sweden,Finland,0.97
GreatBrit.,France,0.97
Italy,France,0.97
Ireland,France,0.97
Luxemb.,France,0.97
NO2,France,0.97
Denmark,Germany,0.97
France,Germany,0.97
Luxemb.,Germany,0.97
Netherlands,Germany,0.97
NO2,Germany,0.97
Poland,Germany,0.97
Sweden,Germany,0.97
Italy,Germany,0.97
Ireland,GreatBrit.,0.97
Netherlands,GreatBrit.,0.97
NO2,GreatBrit.,0.97
NO5,GreatBrit.,0.97
Italy,Greece,0.97
Macedonia,Greece,0.97
Romania,Hungary,0.97
Serbia,Hungary,0.97
Slovakia,Hungary,0.97
Poland,Hungary,0.97
Slovenia,Hungary,0.97
Slovenia,Italy,0.97
Sweden,Latvia,0.97
Latvia,Lithuania,0.97
Sweden,Lithuania,0.97
Poland,Lithuania,0.97
Serbia,Macedonia,0.97
NO2,Netherlands,0.97
Sweden,NO1,0.97
NO2,NO1,0.97
NO3,NO1,0.97
NO5,NO1,0.97
NO5,NO2,0.97
NO4,NO3,0.97
NO5,NO3,0.97
Sweden,NO3,0.97
Sweden,NO4,0.97
Sweden,Poland,0.97
Slovakia,Poland,0.97
Serbia,Romania,0.97
France,Spain,0.97
Ireland,Spain,0.97
Portugal,Spain,0.97
France,Switzerland,0.97
Germany,Switzerland,0.97
Italy,Switzerland,0.97
Estonia,BalticCountries_BalticSea,0.97
Latvia,BalticCountries_BalticSea,0.97
Lithuania,BalticCountries_BalticSea,0.97
GreatBrit.,BE_PrincessElisabeth,0.97
EnergyHubEU,BE_PrincessElisabeth,0.97
NL_Lagelander,BE_PrincessElisabeth,0.97
GB_SheppeyIsland,BE_PrincessElisabeth,0.97
BE_PrincessElisabeth,Belgium,0.97
EnergyHubEU,Belgium,0.97
NL_Lagelander,Belgium,0.97
DK_NorthSea,DE_NorthSea,0.97
EnergyHubEU,DE_NorthSea,0.97
GB_DoggerBank,DE_NorthSea,0.97
NL_Lagelander,DE_NorthSea,0.97
Germany,DE_BalticSea,0.97
Germany,DE_NorthSea,0.97
DK_BalticSea,Denmark,0.97
DK_NorthSea,Denmark,0.97
EnergyHubEU,Denmark,0.97
EnergyHubEU,DK_NorthSea,0.97
GB_DoggerBank,DK_NorthSea,0.97
NO_Sørvest,DK_NorthSea,0.97
FR_ChannelSea,EnergyHubEU,0.97
GB_DoggerBank,EnergyHubEU,0.97
GB_ScotlandEast,EnergyHubEU,0.97
GB_SheppeyIsland,EnergyHubEU,0.97
Germany,EnergyHubEU,0.97
GreatBrit.,EnergyHubEU,0.97
Netherlands,EnergyHubEU,0.97
NL_Lagelander,EnergyHubEU,0.97
NO_Sørvest,EnergyHubEU,0.97
NO_Vestavind,EnergyHubEU,0.97
NO2,EnergyHubEU,0.97
NO3,EnergyHubEU,0.97
NO5,EnergyHubEU,0.97
FI_BalticSea,Finland,0.97
GreatBrit.,FR_ChannelSea,0.97
FR_Atlantic,France,0.97
FR_ChannelSea,France,0.97
GreatBrit.,GB_CelticSea,0.97
Ireland,GB_CelticSea,0.97
GreatBrit.,GB_DoggerBank,0.97
NO_Sørvest,GB_DoggerBank,0.97
GreatBrit.,GB_IrelandSea,0.97
Ireland,GB_IrelandSea,0.97
GreatBrit.,GB_ScotlandEast,0.97
NO_Sørvest,GB_ScotlandEast,0.97
NO_Vestavind,GB_ScotlandEast,0.97
GreatBrit.,GB_SheppeyIsland,0.97
NL_Lagelander,GB_SheppeyIsland,0.97
IE_Atlantic,Ireland,0.97
Spain,FR_Atlantic,0.97
NL_Lagelander,Netherlands,0.97
NO_Sørvest,NO2,0.97
NO_Vestavind,NO2,0.97
NO_Vestavind,NO3,0.97
NO_Sørvest,NO5,0.97
NO_Vestavind,NO5,0.97
PL_BalticSea,Poland,0.97
SE_BalticSea,Sweden,0.97
SE_BotnieGulf,Sweden,0.97
SE_Luleå,Sweden,0.97
