FromNode,ToNode,lineLength_in_km
Switzerland,Austria,355.583879096
CzechR,Austria,253.3455435094
Germany,Austria,490.1242999276
Hungary,Austria,338.3496671533
Italy,Austria,485.9159178264
Slovenia,Austria,151.3699605718
Slovakia,Austria,357.66743167118716
France,Belgium,444.6585871476
Luxemb.,Belgium,129.0493737912
Netherlands,Belgium,175.0
GreatBrit.,Belgium,150.0
Germany,Belgium,467.34821614854997
NO2,Belgium,847.5603817319942
Croatia,BosniaH,190.5919036125
Serbia,BosniaH,190.298459399
Italy,BosniaH,415.0
Greece,Bulgaria,427.9430623325
Macedonia,Bulgaria,269.5376549673
Romania,Bulgaria,395.0076225819
Serbia,Bulgaria,311.5642925532
Hungary,Croatia,243.6757092477
Serbia,Croatia,335.8213865281
Slovenia,Croatia,127.743612979
Italy,Croatia,400.0
Germany,CzechR,336.403327726
Poland,CzechR,338.47352159
Slovakia,CzechR,208.0455737727
NO2,Denmark,120.0
Sweden,Denmark,149.0
Netherlands,Denmark,300.0
GreatBrit.,Denmark,740.0
Poland,Denmark,236.85249023743398
Finland,Estonia,105.0
Latvia,Estonia,196.7241413089
Sweden,Estonia,294.90457117798155
NO4,Finland,757.975011264
Sweden,Finland,233.0
GreatBrit.,France,73.0
Italy,France,716.9202749657
Ireland,France,500.0
Luxemb.,France,394.32505737533904
NO2,France,1148.0
Denmark,Germany,150.0
France,Germany,766.4799059127
Luxemb.,Germany,396.4551237479
Netherlands,Germany,250.0
NO2,Germany,480.0
Poland,Germany,450.0924986036
Sweden,Germany,500.0
Italy,Germany,918.594825787607
Ireland,GreatBrit.,63.5
Netherlands,GreatBrit.,260.0
NO2,GreatBrit.,771.0
NO5,GreatBrit.,665.0
Italy,Greece,313.0
Macedonia,Greece,275.7889313797
Romania,Hungary,335.696553594
Serbia,Hungary,370.0625378694
Slovakia,Hungary,152.1983824741
Poland,Hungary,481.95284790319215
Slovenia,Hungary,350.5111621114125
Slovenia,Italy,368.1320598693
Sweden,Latvia,406.79208404593203
Latvia,Lithuania,204.181872913
Sweden,Lithuania,450.0
Poland,Lithuania,402.88719079123115
Serbia,Macedonia,204.0449758994
NO2,Netherlands,580.0
Sweden,NO1,325.6835876584
NO2,NO1,260.0
NO3,NO1,220.0
NO5,NO1,295.0
NO5,NO2,200.0
NO4,NO3,325.6835876584
NO5,NO3,295.0
Sweden,NO3,325.6835876584
Sweden,NO4,325.6835876584
Sweden,Poland,245.0
Slovakia,Poland,360.4230394075
Serbia,Romania,359.2193609343
France,Spain,792.9102474959
Ireland,Spain,942.7657944744922
Portugal,Spain,339.0097012694
France,Switzerland,317.5603066469
Germany,Switzerland,579.1562734281
Italy,Switzerland,498.4905363004
Estonia,BalticCountries_BalticSea,316.0
Latvia,BalticCountries_BalticSea,351.0
Lithuania,BalticCountries_BalticSea,390.0
GreatBrit.,BE_PrincessElisabeth,332.0
EnergyHubEU,BE_PrincessElisabeth,536.4
NL_Lagelander,BE_PrincessElisabeth,368.4
GB_SheppeyIsland,BE_PrincessElisabeth,147.6
BE_PrincessElisabeth,Belgium,186.0
EnergyHubEU,Belgium,476.0
NL_Lagelander,Belgium,411.0
DK_NorthSea,DE_NorthSea,183.6
EnergyHubEU,DE_NorthSea,55.199999999999996
GB_DoggerBank,DE_NorthSea,345.59999999999997
NL_Lagelander,DE_NorthSea,200.4
Germany,DE_BalticSea,554.0
Germany,DE_NorthSea,539.0
DK_BalticSea,Denmark,423.7
DK_NorthSea,Denmark,230.0
EnergyHubEU,Denmark,284.0
EnergyHubEU,DK_NorthSea,150.0
GB_DoggerBank,DK_NorthSea,369.59999999999997
NO_Sørvest,DK_NorthSea,663.6
FR_ChannelSea,EnergyHubEU,819.6
GB_DoggerBank,EnergyHubEU,568.8
GB_ScotlandEast,EnergyHubEU,610.8
GB_SheppeyIsland,EnergyHubEU,717.6
Germany,EnergyHubEU,584.0
GreatBrit.,EnergyHubEU,557.0
Netherlands,EnergyHubEU,356.0
NL_Lagelander,EnergyHubEU,184.79999999999998
NO_Sørvest,EnergyHubEU,804.0
NO_Vestavind,EnergyHubEU,398.4
NO2,EnergyHubEU,482.0
NO3,EnergyHubEU,963.0
NO5,EnergyHubEU,655.0
FI_BalticSea,Finland,375.0
GreatBrit.,FR_ChannelSea,336.0
FR_Atlantic,France,229.0
FR_ChannelSea,France,442.0
GreatBrit.,GB_CelticSea,500.0
Ireland,GB_CelticSea,415.0
GreatBrit.,GB_DoggerBank,231.0
NO_Sørvest,GB_DoggerBank,902.4
GreatBrit.,GB_IrelandSea,265.0
Ireland,GB_IrelandSea,258.0
GreatBrit.,GB_ScotlandEast,620.0
NO_Sørvest,GB_ScotlandEast,348.0
NO_Vestavind,GB_ScotlandEast,158.4
GreatBrit.,GB_SheppeyIsland,234.0
NL_Lagelander,GB_SheppeyIsland,434.4
IE_Atlantic,Ireland,281.0
Spain,FR_Atlantic,776.0
NL_Lagelander,Netherlands,275.0
NO_Sørvest,NO2,334.0
NO_Vestavind,NO2,695.0
NO_Vestavind,NO3,1006.0
NO_Sørvest,NO5,186.0
NO_Vestavind,NO5,367.0
PL_BalticSea,Poland,364.1
SE_BalticSea,Sweden,227.0
SE_BotnieGulf,Sweden,570.0
SE_Luleå,Sweden,780.0
