InterconnectorLinks,To_Node,transmissionLifetime
Switzerland,Austria,40
CzechR,Austria,40
Germany,Austria,40
Hungary,Austria,40
Italy,Austria,40
Slovenia,Austria,40
Slovakia,Austria,40
France,Belgium,40
Luxemb.,Belgium,40
Netherlands,Belgium,40
GreatBrit.,Belgium,40
Germany,Belgium,40
NO2,Belgium,40
Croatia,BosniaH,40
Serbia,BosniaH,40
Italy,BosniaH,40
Greece,Bulgaria,40
Macedonia,Bulgaria,40
Romania,Bulgaria,40
Serbia,Bulgaria,40
Hungary,Croatia,40
Serbia,Croatia,40
Slovenia,Croatia,40
Italy,Croatia,40
Germany,CzechR,40
Poland,CzechR,40
Slovakia,CzechR,40
NO2,Denmark,40
Sweden,Denmark,40
Netherlands,Denmark,40
GreatBrit.,Denmark,40
Poland,Denmark,40
Finland,Estonia,40
Latvia,Estonia,40
Sweden,Estonia,40
NO4,Finland,40
Sweden,Finland,40
GreatBrit.,France,40
Italy,France,40
Ireland,France,40
Luxemb.,France,40
NO2,France,40
Denmark,Germany,40
France,Germany,40
Luxemb.,Germany,40
Netherlands,Germany,40
NO2,Germany,40
Poland,Germany,40
Sweden,Germany,40
Italy,Germany,40
Ireland,GreatBrit.,40
Netherlands,GreatBrit.,40
NO2,GreatBrit.,40
NO5,GreatBrit.,40
Italy,Greece,40
Macedonia,Greece,40
Romania,Hungary,40
Serbia,Hungary,40
Slovakia,Hungary,40
Poland,Hungary,40
Slovenia,Hungary,40
Slovenia,Italy,40
Sweden,Latvia,40
Latvia,Lithuania,40
Sweden,Lithuania,40
Poland,Lithuania,40
Serbia,Macedonia,40
NO2,Netherlands,40
Sweden,NO1,40
NO2,NO1,40
NO3,NO1,40
NO5,NO1,40
NO5,NO2,40
NO4,NO3,40
NO5,NO3,40
Sweden,NO3,40
Sweden,NO4,40
Sweden,Poland,40
Slovakia,Poland,40
Serbia,Romania,40
France,Spain,40
Ireland,Spain,40
Portugal,Spain,40
France,Switzerland,40
Germany,Switzerland,40
Italy,Switzerland,40
Estonia,BalticCountries_BalticSea,40
Latvia,BalticCountries_BalticSea,40
Lithuania,BalticCountries_BalticSea,40
GreatBrit.,BE_PrincessElisabeth,40
EnergyHubEU,BE_PrincessElisabeth,40
NL_Lagelander,BE_PrincessElisabeth,40
GB_SheppeyIsland,BE_PrincessElisabeth,40
BE_PrincessElisabeth,Belgium,40
EnergyHubEU,Belgium,40
NL_Lagelander,Belgium,40
DK_NorthSea,DE_NorthSea,40
EnergyHubEU,DE_NorthSea,40
GB_DoggerBank,DE_NorthSea,40
NL_Lagelander,DE_NorthSea,40
Germany,DE_BalticSea,40
Germany,DE_NorthSea,40
DK_BalticSea,Denmark,40
DK_NorthSea,Denmark,40
EnergyHubEU,Denmark,40
EnergyHubEU,DK_NorthSea,40
GB_DoggerBank,DK_NorthSea,40
NO_Sørvest,DK_NorthSea,40
FR_ChannelSea,EnergyHubEU,40
GB_DoggerBank,EnergyHubEU,40
GB_ScotlandEast,EnergyHubEU,40
GB_SheppeyIsland,EnergyHubEU,40
Germany,EnergyHubEU,40
GreatBrit.,EnergyHubEU,40
Netherlands,EnergyHubEU,40
NL_Lagelander,EnergyHubEU,40
NO_Sørvest,EnergyHubEU,40
NO_Vestavind,EnergyHubEU,40
NO2,EnergyHubEU,40
NO3,EnergyHubEU,40
NO5,EnergyHubEU,40
FI_BalticSea,Finland,40
GreatBrit.,FR_ChannelSea,40
FR_Atlantic,France,40
FR_ChannelSea,France,40
GreatBrit.,GB_CelticSea,40
Ireland,GB_CelticSea,40
GreatBrit.,GB_DoggerBank,40
NO_Sørvest,GB_DoggerBank,40
GreatBrit.,GB_IrelandSea,40
Ireland,GB_IrelandSea,40
GreatBrit.,GB_ScotlandEast,40
NO_Sørvest,GB_ScotlandEast,40
NO_Vestavind,GB_ScotlandEast,40
GreatBrit.,GB_SheppeyIsland,40
NL_Lagelander,GB_SheppeyIsland,40
IE_Atlantic,Ireland,40
Spain,FR_Atlantic,40
NL_Lagelander,Netherlands,40
NO_Sørvest,NO2,40
NO_Vestavind,NO2,40
NO_Vestavind,NO3,40
NO_Sørvest,NO5,40
NO_Vestavind,NO5,40
PL_BalticSea,Poland,40
SE_BalticSea,Sweden,40
SE_BotnieGulf,Sweden,40
SE_Luleå,Sweden,40
