InterconnectorLinks,ToNode,Period,TransmissionMaxBuiltCapacity_in_MW
Estonia,BalticCountries_BalticSea,1,3000
Latvia,BalticCountries_BalticSea,1,3000
Lithuania,BalticCountries_BalticSea,1,3000
GreatBrit.,BE_PrincessElisabeth,1,3000
EnergyHubEU,BE_PrincessElisabeth,1,3000
NL_Lagelander,BE_PrincessElisabeth,1,3000
GB_SheppeyIsland,BE_PrincessElisabeth,1,3000
BE_PrincessElisabeth,Belgium,1,3000
EnergyHubEU,Belgium,1,3000
NL_Lagelander,Belgium,1,3000
DK_NorthSea,DE_NorthSea,1,3000
EnergyHubEU,DE_NorthSea,1,3000
GB_DoggerBank,DE_NorthSea,1,3000
NL_Lagelander,DE_NorthSea,1,3000
Germany,DE_BalticSea,1,3000
Germany,DE_NorthSea,1,3000
DK_BalticSea,Denmark,1,3000
DK_NorthSea,Denmark,1,3000
EnergyHubEU,Denmark,1,3000
EnergyHubEU,DK_NorthSea,1,3000
GB_DoggerBank,DK_NorthSea,1,3000
NO_Sørvest,DK_NorthSea,1,3000
FR_ChannelSea,EnergyHubEU,1,3000
GB_DoggerBank,EnergyHubEU,1,3000
GB_ScotlandEast,EnergyHubEU,1,3000
GB_SheppeyIsland,EnergyHubEU,1,3000
Germany,EnergyHubEU,1,3000
GreatBrit.,EnergyHubEU,1,3000
Netherlands,EnergyHubEU,1,3000
NL_Lagelander,EnergyHubEU,1,3000
NO_Sørvest,EnergyHubEU,1,3000
NO_Vestavind,EnergyHubEU,1,3000
NO2,EnergyHubEU,1,3000
NO3,EnergyHubEU,1,3000
NO5,EnergyHubEU,1,3000
FI_BalticSea,Finland,1,3000
GreatBrit.,FR_ChannelSea,1,3000
FR_Atlantic,France,1,3000
FR_ChannelSea,France,1,3000
GreatBrit.,GB_CelticSea,1,3000
Ireland,GB_CelticSea,1,3000
GreatBrit.,GB_DoggerBank,1,3000
NO_Sørvest,GB_DoggerBank,1,3000
GreatBrit.,GB_IrelandSea,1,3000
Ireland,GB_IrelandSea,1,3000
GreatBrit.,GB_ScotlandEast,1,3000
NO_Sørvest,GB_ScotlandEast,1,3000
NO_Vestavind,GB_ScotlandEast,1,3000
GreatBrit.,GB_SheppeyIsland,1,3000
NL_Lagelander,GB_SheppeyIsland,1,3000
IE_Atlantic,Ireland,1,3000
Spain,FR_Atlantic,1,3000
NL_Lagelander,Netherlands,1,3000
NO_Sørvest,NO2,1,3000
NO_Vestavind,NO2,1,3000
NO_Vestavind,NO3,1,3000
NO_Sørvest,NO5,1,3000
NO_Vestavind,NO5,1,3000
PL_BalticSea,Poland,1,3000
SE_BalticSea,Sweden,1,3000
SE_BotnieGulf,Sweden,1,3000
SE_Luleå,Sweden,1,3000
Estonia,BalticCountries_BalticSea,2,6000
Latvia,BalticCountries_BalticSea,2,6000
Lithuania,BalticCountries_BalticSea,2,6000
