InterconnectorLinks,ToNode,Period,MaxRawNotAdjustWithInitCap_in_MW
Switzerland,Austria,1,2400
CzechR,Austria,1,1800
Germany,Austria,1,10800
Hungary,Austria,1,1600
Italy,Austria,1,1600
Slovenia,Austria,1,1900
Slovakia,Austria,1,0
France,Belgium,1,8600
Luxemb.,Belgium,1,1360
Netherlands,Belgium,1,6800
GreatBrit.,Belgium,1,2000
Germany,Belgium,1,1000
NO2,Belgium,1,0
Croatia,BosniaH,1,1500
Serbia,BosniaH,1,1060
Italy,BosniaH,1,0
Greece,Bulgaria,1,3400
Macedonia,Bulgaria,1,1000
Romania,Bulgaria,1,3000
Serbia,Bulgaria,1,640
Hungary,Croatia,1,3400
Serbia,Croatia,1,1000
Slovenia,Croatia,1,4000
Italy,Croatia,1,0
Germany,CzechR,1,4200
Poland,CzechR,1,2800
Slovakia,CzechR,1,3600
NO2,Denmark,1,1632
Sweden,Denmark,1,1500
Netherlands,Denmark,1,1400
GreatBrit.,Denmark,1,2800
Poland,Denmark,1,0
Denmark,Germany,1,8200
Finland,Estonia,1,2032
Latvia,Estonia,1,2200
Sweden,Estonia,1,0
NO4,Finland,1,0
Sweden,Finland,1,4800
GreatBrit.,France,1,8000
Italy,France,1,8200
Ireland,France,1,0
Luxemb.,France,1,760
NO2,France,1,0
France,Germany,1,6600
France,Spain,1,10000
France,Switzerland,1,7400
Luxemb.,Germany,1,4600
Netherlands,Germany,1,10000
NO2,Germany,1,1400
Poland,Germany,1,6000
Sweden,Germany,1,1230
Italy,Germany,1,0
Germany,Switzerland,1,8400
Ireland,GreatBrit.,1,3500
Netherlands,GreatBrit.,1,2000
NO2,GreatBrit.,1,1100
NO5,GreatBrit.,1,0
Italy,Greece,1,1000
Macedonia,Greece,1,2200
Romania,Hungary,1,2200
Serbia,Hungary,1,1500
Slovakia,Hungary,1,5200
Poland,Hungary,1,0
Slovenia,Hungary,1,2400
Ireland,Spain,1,0
Slovenia,Italy,1,1320
Italy,Switzerland,1,7500
Sweden,Latvia,1,0
Latvia,Lithuania,1,1900
Sweden,Lithuania,1,1400
Poland,Lithuania,1,1000
Serbia,Macedonia,1,1080
NO2,Netherlands,1,723
Sweden,NO1,1,2145
NO2,NO1,1,4200
NO3,NO1,1,600
NO5,NO1,1,4680
NO5,NO2,1,720
NO4,NO3,1,1440
NO5,NO3,1,600
Sweden,NO3,1,1000
Sweden,NO4,1,300
Sweden,Poland,1,1200
Slovakia,Poland,1,3960
Portugal,Spain,1,8400
Serbia,Romania,1,1360
Switzerland,Austria,2,2400
CzechR,Austria,2,1800
Germany,Austria,2,10800
Hungary,Austria,2,1600
Italy,Austria,2,1600
Slovenia,Austria,2,1900
Slovakia,Austria,2,0
France,Belgium,2,8600
Luxemb.,Belgium,2,1360
Netherlands,Belgium,2,6800
GreatBrit.,Belgium,2,2000
Germany,Belgium,2,1000
NO2,Belgium,2,0
Croatia,BosniaH,2,1500
Serbia,BosniaH,2,1060
Italy,BosniaH,2,0
Greece,Bulgaria,2,3400
Macedonia,Bulgaria,2,1000
Romania,Bulgaria,2,3000
Serbia,Bulgaria,2,640
Hungary,Croatia,2,3400
Serbia,Croatia,2,1000
Slovenia,Croatia,2,4000
Italy,Croatia,2,0
Germany,CzechR,2,4200
Poland,CzechR,2,2800
Slovakia,CzechR,2,3600
NO2,Denmark,2,1632
Sweden,Denmark,2,1500
Netherlands,Denmark,2,1400
GreatBrit.,Denmark,2,2800
Poland,Denmark,2,0
Denmark,Germany,2,8200
Finland,Estonia,2,2032
Latvia,Estonia,2,2200
Sweden,Estonia,2,0
NO4,Finland,2,0
Sweden,Finland,2,4800
GreatBrit.,France,2,8000
Italy,France,2,8200
Ireland,France,2,0
Luxemb.,France,2,760
NO2,France,2,0
France,Germany,2,6600
France,Spain,2,10000
France,Switzerland,2,7400
Luxemb.,Germany,2,4600
Netherlands,Germany,2,10000
NO2,Germany,2,1400
Poland,Germany,2,6000
Sweden,Germany,2,1230
Italy,Germany,2,0
Germany,Switzerland,2,8400
Ireland,GreatBrit.,2,3500
Netherlands,GreatBrit.,2,2000
NO2,GreatBrit.,2,1100
NO5,GreatBrit.,2,0
Italy,Greece,2,1000
Macedonia,Greece,2,2200
Romania,Hungary,2,2200
Serbia,Hungary,2,1500
Slovakia,Hungary,2,5200
Poland,Hungary,2,0
Slovenia,Hungary,2,2400
Ireland,Spain,2,0
Slovenia,Italy,2,1320
Italy,Switzerland,2,7500
Sweden,Latvia,2,0
Latvia,Lithuania,2,1900
Sweden,Lithuania,2,1400
Poland,Lithuania,2,1000
Serbia,Macedonia,2,1080
NO2,Netherlands,2,723
Sweden,NO1,2,2145
NO2,NO1,2,4200
NO3,NO1,2,600
NO5,NO1,2,4680
NO5,NO2,2,720
NO4,NO3,2,1440
NO5,NO3,2,600
Sweden,NO3,2,1000
Sweden,NO4,2,300
Sweden,Poland,2,1200
Slovakia,Poland,2,3960
Portugal,Spain,2,8400
Serbia,Romania,2,1360
Switzerland,Austria,3,2400
CzechR,Austria,3,1800
Germany,Austria,3,10800
Hungary,Austria,3,1600
Italy,Austria,3,1600
Slovenia,Austria,3,1900
Slovakia,Austria,3,0
France,Belgium,3,8600
Luxemb.,Belgium,3,1360
Netherlands,Belgium,3,6800
GreatBrit.,Belgium,3,2000
Germany,Belgium,3,1000
NO2,Belgium,3,0
Croatia,BosniaH,3,1500
Serbia,BosniaH,3,1060
Italy,BosniaH,3,0
Greece,Bulgaria,3,3400
Macedonia,Bulgaria,3,1000
Romania,Bulgaria,3,3000
Serbia,Bulgaria,3,640
Hungary,Croatia,3,3400
Serbia,Croatia,3,1000
Slovenia,Croatia,3,4000
Italy,Croatia,3,0
Germany,CzechR,3,4200
Poland,CzechR,3,2800
Slovakia,CzechR,3,3600
NO2,Denmark,3,1632
Sweden,Denmark,3,1500
Netherlands,Denmark,3,1400
GreatBrit.,Denmark,3,2800
Poland,Denmark,3,0
Denmark,Germany,3,8200
Finland,Estonia,3,2032
Latvia,Estonia,3,2200
Sweden,Estonia,3,0
NO4,Finland,3,0
Sweden,Finland,3,4800
GreatBrit.,France,3,8000
Italy,France,3,8200
Ireland,France,3,0
Luxemb.,France,3,760
NO2,France,3,0
France,Germany,3,6600
France,Spain,3,10000
France,Switzerland,3,7400
Luxemb.,Germany,3,4600
Netherlands,Germany,3,10000
NO2,Germany,3,1400
Poland,Germany,3,6000
Sweden,Germany,3,1230
Italy,Germany,3,0
Germany,Switzerland,3,8400
Ireland,GreatBrit.,3,3500
Netherlands,GreatBrit.,3,2000
NO2,GreatBrit.,3,1100
NO5,GreatBrit.,3,0
Italy,Greece,3,1000
Macedonia,Greece,3,2200
Romania,Hungary,3,2200
Serbia,Hungary,3,1500
Slovakia,Hungary,3,5200
Poland,Hungary,3,0
Slovenia,Hungary,3,2400
Ireland,Spain,3,0
Slovenia,Italy,3,1320
Italy,Switzerland,3,7500
Sweden,Latvia,3,0
Latvia,Lithuania,3,1900
Sweden,Lithuania,3,1400
Poland,Lithuania,3,1000
Serbia,Macedonia,3,1080
NO2,Netherlands,3,723
Sweden,NO1,3,2145
NO2,NO1,3,4200
NO3,NO1,3,600
NO5,NO1,3,4680
NO5,NO2,3,720
NO4,NO3,3,1440
NO5,NO3,3,600
Sweden,NO3,3,1000
Sweden,NO4,3,300
Sweden,Poland,3,1200
Slovakia,Poland,3,3960
Portugal,Spain,3,8400
Serbia,Romania,3,1360
Estonia,BalticCountries_BalticSea,1,10000
Latvia,BalticCountries_BalticSea,1,10000
Lithuania,BalticCountries_BalticSea,1,10000
GreatBrit.,BE_PrincessElisabeth,1,10000
EnergyHubEU,BE_PrincessElisabeth,1,10000
NL_Lagelander,BE_PrincessElisabeth,1,10000
GB_SheppeyIsland,BE_PrincessElisabeth,1,10000
BE_PrincessElisabeth,Belgium,1,10000
EnergyHubEU,Belgium,1,10000
NL_Lagelander,Belgium,1,10000
DK_NorthSea,DE_NorthSea,1,10000
EnergyHubEU,DE_NorthSea,1,10000
GB_DoggerBank,DE_NorthSea,1,10000
NL_Lagelander,DE_NorthSea,1,10000
Germany,DE_BalticSea,1,10000
Germany,DE_NorthSea,1,10000
