Node,Period,Electricity_demand_[MWh/yr]
Austria,1,16643569.664016908
BosniaH,1,3651742.317239866
Belgium,1,14473367.752088945
Bulgaria,1,7856301.724922898
Switzerland,1,13025993.896332555
CzechR,1,14968132.365872804
Germany,1,138071922.7611438
Denmark,1,8768774.922116311
Estonia,1,1860218.8233553828
Spain,1,72852816.6794243
Finland,1,11911758.463524764
France,1,113701002.0614218
GreatBrit.,1,55804160.74725455
Greece,1,13838315.143569447
Croatia,1,4128471.3111766614
Hungary,1,12910538.846383039
Ireland,1,7090216.607463013
Italy,1,86750690.67922787
Lithuania,1,4940077.855119078
Luxemb.,1,945759.0324785694
Latvia,1,3294012.8452862883
Macedonia,1,2106027.5131783383
Netherlands,1,19179017.743589777
NO1,1,2618429.904863347
NO2,1,2618429.904863347
NO3,1,1939577.707306183
NO4,1,1357704.395114328
NO5,1,1163746.6243837096
Poland,1,40688086.12020394
Portugal,1,12201454.715359138
Romania,1,15571468.961239856
Serbia,1,6371485.242935635
Sweden,1,18780433.46049001
Slovenia,1,4075685.8043397707
Slovakia,1,6330453.058806162
Austria,2,19390389.72920018
BosniaH,2,4192412.1639468293
Belgium,2,18542991.274189252
Bulgaria,2,10783776.62753293
Switzerland,2,17187041.70292807
CzechR,2,17843442.37132466
Germany,2,174236228.68037388
Denmark,2,11347624.103354162
Estonia,2,2578143.558093347
Spain,2,90385112.13251272
Finland,2,14702491.068289187
France,2,144414997.14212415
GreatBrit.,2,64088952.81848574
Greece,2,19360214.196639214
Croatia,2,5179514.46022147
Hungary,2,16165231.437339617
Ireland,2,10052520.617716132
Italy,2,117828799.04293026
Lithuania,2,6592736.025092838
Luxemb.,2,1306616.5906005965
Latvia,2,4237634.2240742
Macedonia,2,2417841.8400915875
Netherlands,2,24663406.054345645
NO1,2,3627942.3663696307
NO2,2,3627942.3663696307
NO3,2,2687364.715829356
NO4,2,1881155.3010805494
NO5,2,1612418.8294976135
Poland,2,49447471.09670335
Portugal,2,17040120.89908917
Romania,2,21174862.47407369
Serbia,2,7314834.923807275
Sweden,2,23120800.98221699
Slovenia,2,5233420.940887626
Slovakia,2,7060022.105582623
Austria,3,17714233.149125
BosniaH,3,3640115.759413437
Belgium,3,17774759.159106966
Bulgaria,3,10129123.263646128
Switzerland,3,16385923.691096192
CzechR,3,16940427.459293623
Germany,3,163491859.53910244
Denmark,3,10539882.2535057
Estonia,3,2434761.299070851
Spain,3,79843274.45223603
Finland,3,13302672.278031442
France,3,133036981.39985341
GreatBrit.,3,55871361.970489345
Greece,3,18145344.27279953
Croatia,3,4841326.9465841735
Hungary,3,14974731.826648438
Ireland,3,9573284.835871484
Italy,3,114160490.40691201
Lithuania,3,6033189.648897647
Luxemb.,3,1259059.7588964452
Latvia,3,3851704.1540006157
Macedonia,3,2099322.26167403
Netherlands,3,23359516.78241491
NO1,3,3559694.2557471665
NO2,3,3559694.2557471665
NO3,3,2636810.5598127157
NO4,3,1845767.3918689012
NO5,3,1582086.3358876293
Poland,3,44924355.48732269
Portugal,3,15896704.147511166
Romania,3,19959626.640027903
Serbia,3,6351199.4628389655
Sweden,3,21560964.155621037
Slovenia,3,4907351.892632241
Slovakia,3,6613366.0371642485
