Node,Period,Hydrogen_demand_[MWh/yr]
Austria,1,13647943.571460707
BosniaH,1,913022.9175605441
Belgium,1,37069541.37091811
Bulgaria,1,2238100.0301799043
Switzerland,1,4706270.514498617
CzechR,1,14448645.267394273
Germany,1,170236962.3835035
Denmark,1,4965337.203719561
Estonia,1,548793.1525881886
Spain,1,41989056.95571429
Finland,1,8199415.72529512
France,1,69935795.53301598
GreatBrit.,1,62154880.84905759
Greece,1,13093440.335153544
Croatia,1,5155880.671899079
Hungary,1,12543835.356608294
Ireland,1,2239861.8726654826
Italy,1,58157765.971735045
Lithuania,1,8352406.114426778
Luxemb.,1,509037.0511577905
Latvia,1,509724.17258281267
Macedonia,1,526557.2478833151
Netherlands,1,63546340.24044353
NO1,1,2790407.5451618293
NO2,1,2790407.5451618293
NO3,1,2066968.5519717254
NO4,1,1446877.9863802078
NO5,1,1240181.1311830352
Poland,1,68707677.80894056
Portugal,1,6899633.640114126
Romania,1,7597319.099204167
Serbia,1,1593023.6967256782
Sweden,1,16600368.232362736
Slovenia,1,1497723.9563635895
Slovakia,1,7706131.932992919
Austria,2,28370393.05688585
BosniaH,2,3830135.9892520616
Belgium,2,92475757.8950308
Bulgaria,2,11525194.651516996
Switzerland,2,15591300.672080107
CzechR,2,38013385.16061676
Germany,2,464940079.72174716
Denmark,2,92819032.34913835
Estonia,2,3510181.3999259225
Spain,2,220079289.32374284
Finland,2,22170649.50155327
France,2,189031530.53907934
GreatBrit.,2,163140166.51312643
Greece,2,21914228.15866508
Croatia,2,10551036.8539519
Hungary,2,31827670.96952974
Ireland,2,16225485.924588189
Italy,2,140725295.29651895
Lithuania,2,16835548.59225471
Luxemb.,2,2678113.745493176
Latvia,2,2131064.343313309
Macedonia,2,2208910.4520048015
Netherlands,2,125353649.1883377
NO1,2,6115614.521343994
NO2,2,6115614.521343994
NO3,2,4530084.83062518
NO4,2,3171059.381437626
NO5,2,2718050.898375108
Poland,2,139116227.7711383
Portugal,2,28779383.1469177
Romania,2,25671312.379758768
Serbia,2,6682742.870094256
Sweden,2,39116593.4701766
Slovenia,2,4964218.820076692
Slovakia,2,18584611.72241004
Austria,3,35704488.65596503
BosniaH,3,4538479.425861422
Belgium,3,127014522.81461783
Bulgaria,3,15040180.828148898
Switzerland,3,15020912.188327799
CzechR,3,44483681.51710969
Germany,3,547397286.7942036
Denmark,3,170862276.52945766
Estonia,3,3926478.115049828
Spain,3,238406556.5578993
Finland,3,39201260.19294902
France,3,238937596.30643296
GreatBrit.,3,200331590.89001003
Greece,3,23902935.4144949
Croatia,3,12215388.384189075
Hungary,3,40610788.84086563
Ireland,3,17434318.966572847
Italy,3,160901739.65018022
Lithuania,3,24859385.720264938
Luxemb.,3,2746394.5467296103
Latvia,3,3217310.0274021244
Macedonia,3,15074550.671759732
Netherlands,3,188324556.9444931
NO1,3,8305873.4386438215
NO2,3,8305873.4386438215
NO3,3,6152498.843439868
NO4,3,4306749.190407908
NO5,3,3691499.3060639203
Poland,3,175200385.98628017
Portugal,3,28685004.594786905
Romania,3,34919085.90659448
Serbia,3,7918645.998302411
Sweden,3,46083995.5264462
Slovenia,3,5157501.731124746
Slovakia,3,22631152.75535021
