Node,Period,Natural_gas_demand_[MWh/yr]
Austria,1,48511173.86636973
BosniaH,1,5790753.0148844
Belgium,1,102465314.09220052
Bulgaria,1,9366382.11170463
Switzerland,1,30413510.07891204
CzechR,1,65670023.90304141
Germany,1,710979756.68563
Denmark,1,29659605.023267124
Estonia,1,5484241.650670789
Spain,1,105154936.42995825
Finland,1,8147330.895925878
France,1,330614225.6001511
GreatBrit.,1,170154602.9401596
Greece,1,17313572.324997988
Croatia,1,10519578.486487383
Hungary,1,55518555.70200994
Ireland,1,17172712.056022298
Italy,1,264548955.33508927
Lithuania,1,8788607.39655319
Luxemb.,1,6774516.004069854
Latvia,1,5972318.948960606
Macedonia,1,3339634.6488612033
Netherlands,1,184177505.43465266
NO1,1,3329589.3456672714
NO2,1,3329589.3456672714
NO3,1,2466362.4782720534
NO4,1,1726453.7347904372
NO5,1,1479817.4869632316
Poland,1,149877260.95242926
Portugal,1,14453772.764827874
Romania,1,64744135.71962223
Serbia,1,10103587.322039811
Sweden,1,56400874.49987946
Slovenia,1,9913810.666896995
Slovakia,1,35790652.37899847
Austria,2,0.0
BosniaH,2,0.0
Belgium,2,0.0
Bulgaria,2,0.0
Switzerland,2,0.0
CzechR,2,0.0
Germany,2,176407345.2165894
Denmark,2,387120.56543068605
Estonia,2,0.0
Spain,2,9493959.12195498
Finland,2,0.0
France,2,0.0
GreatBrit.,2,12797808.054252071
Greece,2,0.0
Croatia,2,0.0
Hungary,2,0.0
Ireland,2,655775.8331756804
Italy,2,0.0
Lithuania,2,13.524702299143323
Luxemb.,2,0.0
Latvia,2,0.0
Macedonia,2,0.0
Netherlands,2,49884277.87170943
NO1,2,470684.7319130557
NO2,2,470684.7319130557
NO3,2,348655.35697263386
NO4,2,244058.7498808437
NO5,2,209193.2141835803
Poland,2,9670093.155777637
Portugal,2,0.0
Romania,2,0.0
Serbia,2,0.0
Sweden,2,0.0
Slovenia,2,0.0
Slovakia,2,0.0
Austria,3,0.0
BosniaH,3,0.0
Belgium,3,0.0
Bulgaria,3,0.0
Switzerland,3,0.0
CzechR,3,0.0
Germany,3,88695198.79954293
Denmark,3,247603.08586381507
Estonia,3,0.0
Spain,3,5836460.458518868
Finland,3,0.0
France,3,0.0
GreatBrit.,3,7747258.794116373
Greece,3,0.0
Croatia,3,0.0
Hungary,3,0.0
Ireland,3,360053.30787555926
Italy,3,0.0
Lithuania,3,5.879758115924916
Luxemb.,3,0.0
Latvia,3,0.0
Macedonia,3,0.0
Netherlands,3,51535260.882786185
NO1,3,347938.37283490284
NO2,3,347938.37283490284
NO3,3,257732.12802585395
NO4,3,180412.48961809778
NO5,3,154639.27681551236
Poland,3,9018721.222466268
Portugal,3,0.0
Romania,3,0.0
Serbia,3,0.0
Sweden,3,0.0
Slovenia,3,0.0
Slovakia,3,0.0
