Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Austria,Coal_existing,1553.0
Austria,Gas_existing,4853.0
Austria,Oil_existing,168.0
Austria,Bio_existing,586.0
Austria,Hydroregulated,4218.0
Austria,Hydrorun-of-the-river,5714.0
Austria,Windonshore,2887.0
Austria,Solar,1193.0
Austria,Geo,1.0
Austria,Waste,22.0
BosniaH,Lignite_existing,1993.0
BosniaH,Hydroregulated,1665.0
BosniaH,Windonshore,51.0
Belgium,Gas_existing,6974.0
Belgium,Oil_existing,404.0
Belgium,Bio_existing,811.0
Belgium,Nuclear,5919.0
Belgium,Hydrorun-of-the-river,125.0
Belgium,Windonshore,2068.0
Belgium,Windoffshore,1179.0
Belgium,Waste,302.0
Belgium,Solar,3581.0
Bulgaria,Lignite_existing,3558.0
Bulgaria,Coal_existing,175.0
Bulgaria,Gas_existing,755.0
Bulgaria,Bio_existing,77.0
Bulgaria,Nuclear,1950.0
Bulgaria,Hydroregulated,1534.0
Bulgaria,Hydrorun-of-the-river,600.0
Bulgaria,Windonshore,700.0
Bulgaria,Solar,1052.0
Switzerland,Bio_existing,196.0
Switzerland,Nuclear,3333.0
Switzerland,Hydroregulated,6288.0
Switzerland,Hydrorun-of-the-river,4053.0
Switzerland,Windonshore,75.0
Switzerland,Waste,422.0
Switzerland,Solar,1664.0
CzechR,Lignite_existing,8450.0
CzechR,Coal_existing,1200.0
CzechR,Gas_existing,1605.0
CzechR,Bio_existing,800.0
CzechR,Nuclear,4040.0
CzechR,Hydroregulated,753.0
CzechR,Hydrorun-of-the-river,334.0
CzechR,Waste,100.0
CzechR,Windonshore,316.0
CzechR,Solar,2049.0
Germany,Lignite_existing,22471.0
Germany,Coal_existing,24645.0
Germany,Gas_existing,31614.0
Germany,Oil_existing,4440.0
Germany,Bio_existing,8042.0
Germany,Nuclear,9516.0
Germany,Geo,42.0
Germany,Hydroregulated,1267.0
Germany,Hydrorun-of-the-river,3781.0
Germany,Windonshore,51844.0
Germany,Waste,1784.0
Germany,Windoffshore,6385.0
Germany,Solar,43922.0
Denmark,Coal_existing,3700.0
Denmark,Gas_existing,1829.0
Denmark,Oil_existing,1007.0
Denmark,Bio_existing,2066.0
Denmark,Hydrorun-of-the-river,7.0
Denmark,Windonshore,4423.0
Denmark,Waste,323.0
Denmark,Windoffshore,1701.0
Denmark,Solar,1000.0
