GeneratorTechnology,Period,generatorRetirementFactorInitialCap
Lignite_existing,2,0.3846153846153846
Coal_existing,2,0.3846153846153846
Gas_existing,2,0.3173076923076924
Oil_existing,2,0.4444444444444441
Bio_existing,2,0.2857142857142857
Nuclear,2,0.2857142857142857
Lignite_existing,3,0.5865384615384616
Coal_existing,3,0.5865384615384616
Gas_existing,3,0.576923076923077
Oil_existing,3,0.6666666666666665
Bio_existing,3,0.42857142857142855
Nuclear,3,0.42857142857142855
Lignite_existing,4,0.7115384615384616
Coal_existing,4,0.7115384615384616
Gas_existing,4,0.9038461538461539
Oil_existing,4,0.7592592592592591
Bio_existing,4,0.5714285714285714
Nuclear,4,0.5714285714285714
Lignite_existing,5,0.8
Coal_existing,5,0.8
Gas_existing,5,0.92
Oil_existing,5,0.85
Bio_existing,5,0.7142857142857143
Nuclear,5,0.7142857142857143
Lignite_existing,6,0.95
Coal_existing,6,0.95
Gas_existing,6,1.0
Oil_existing,6,0.95
Bio_existing,6,0.8571428571428571
Nuclear,6,0.8571428571428571
Windonshore,6,0.5
Windoffshoregrounded,6,1.0
Solar,6,0.5
Lignite_existing,7,1.0
Coal_existing,7,1.0
Gas_existing,7,1.0
Oil_existing,7,1.0
Bio_existing,7,1.0
Nuclear,7,1.0
Windonshore,7,1.0
Windoffshoregrounded,7,1.0
Solar,7,1.0
Lignite_existing,8,1.0
Coal_existing,8,1.0
Gas_existing,8,1.0
Oil_existing,8,1.0
Bio_existing,8,1.0
Nuclear,8,1.0
Windonshore,8,1.0
Windoffshoregrounded,8,1.0
Solar,8,1.0
Windoffshorefloating,6,1.0
Windoffshorefloating,7,1.0
Windoffshorefloating,8,1.0
