GeneratorTechnology,generatorVariableOMcosts_in_euro_per_MWh
Lignite_existing,3.0
Lignite,3.0
LigniteCCSadv,3.28
LigniteCCSsup,1.18
Coal_existing,2.4
Coal,2.4
CoalCCSadv,2.46
CoalCCS,7.3
Gas_existing,2.31
GasOCGT,2.31
GasCCGT,2.31
GasCCSadv,1.85
GasCCS,2.9
Oil_existing,2.76
Bio_existing,3.56
Bio10cofiring,0.48
Bio10cofiringCCS,3.28
Nuclear,7.5
Wave,0.1
Geo,0.32
Hydroregulated,0.32
Hydrorun-of-the-river,0.0
Bio,3.56
Windonshore,0.18
Windoffshoregrounded,0.39
Windoffshorefloating,0.39
Solar,0.0
Waste,0.82
