Technology,Generator
Existing,Lignite_existing
Lignite,Lignite_existing
Coal,Lignite_existing
Lignite,Lignite
Coal,Lignite
CCS,LigniteCCSadv
Lignite,LigniteCCSadv
Coal,LigniteCCSadv
Existing,Coal_existing
Hcoal,Coal_existing
Coal,Coal_existing
Hcoal,Coal
Coal,Coal
CCS,CoalCCSadv
Hcoal,CoalCCSadv
Coal,CoalCCSadv
Existing,Gas_existing
Gas,Gas_existing
Gas,GasOCGT
Gas,GasCCGT
CCS,GasCCSadv
Gas,GasCCSadv
Existing,Oil_existing
Oil,Oil_existing
Existing,Bio_existing
Bio,Bio_existing
CoFire,Bio10cofiring
Nuclear,Nuclear
Wave,Wave
Geo,Geo
Hydro_reg,Hydroregulated
Hydro_ror,Hydrorun-of-the-river
Bio,Bio
Wind_onshr,Windonshore
Wind_offshr_grounded,Windoffshoregrounded
Wind_offshr_floating,Windoffshorefloating
Solar,Solar
CCS,Bio10cofiringCCS
CoFire,Bio10cofiringCCS
CCS,LigniteCCSsup
Lignite,LigniteCCSsup
Coal,LigniteCCSsup
CCS,CoalCCS
Hcoal,CoalCCS
Coal,CoalCCS
CCS,GasCCS
Gas,GasCCS
Waste,Waste
